CitizenID,EmployeeID,ServiceType,WeeklyServiceHours,SIPResponsible,FamilyRelationsToServiceCompany,MedicalRecords,CriminalBackground,Debt
CIT019454,EMP002254,Cleaning,23.18,SIPA000020,0,True,False,0.0
CIT029179,EMP003199,Transport,22.98,SIPA000069,0,True,False,0.0
CIT011146,EMP001302,Meals,22.95,SIPA000076,0,True,False,0.0
CIT011481,EMP001342,Meals,22.93,SIPA000001,0,True,False,0.0
CIT012725,EMP001497,Meals,22.9,SIPA000015,0,True,False,0.0
CIT021013,EMP002433,Cleaning,22.89,SIPA000021,0,True,False,0.0
CIT004711,EMP000558,Meals,22.88,SIPA000037,0,True,False,0.0
CIT002384,EMP000298,Meals,22.83,SIPA000006,0,True,False,0.0
CIT031323,EMP003302,Transport,22.83,SIPA000081,0,True,False,0.0
CIT005365,EMP000634,Meals,22.82,SIPA000035,0,True,False,0.0
CIT003144,EMP000377,Meals,22.67,SIPA000028,0,True,False,0.0
CIT026166,EMP003057,Cleaning,22.65,SIPA000008,0,True,False,0.0
CIT007498,EMP000890,Meals,22.62,SIPA000036,0,True,False,0.0
CIT024167,EMP002809,Cleaning,22.58,SIPA000059,0,True,False,0.0
CIT000112,EMP000014,Meals,22.57,SIPA000030,0,True,False,0.0
CIT012714,EMP001486,Meals,22.56,SIPA000004,0,True,False,0.0
CIT014258,EMP001656,Cleaning,22.52,SIPA000072,0,True,False,0.0
CIT000252,EMP000039,Meals,22.49,SIPA000006,0,True,False,0.0
CIT007504,EMP000896,Meals,22.45,SIPA000042,0,True,False,0.0
CIT003138,EMP000371,Meals,22.42,SIPA000022,0,True,False,0.0
CIT029594,EMP003220,Transport,22.41,SIPA000074,0,True,False,0.0
CIT009630,EMP001136,Meals,22.34,SIPA000036,0,True,False,0.0
CIT031322,EMP003301,Transport,22.34,SIPA000080,0,True,False,0.0
CIT011149,EMP001305,Meals,22.31,SIPA000079,0,True,False,0.0
CIT011760,EMP001380,Meals,22.28,SIPA000034,0,True,False,0.0
CIT016120,EMP001906,Cleaning,22.27,SIPA000048,0,True,False,0.0
CIT019489,EMP002289,Cleaning,22.19,SIPA000055,0,True,False,0.0
CIT010504,EMP001225,Meals,22.18,SIPA000008,0,True,False,0.0
CIT003133,EMP000366,Meals,22.12,SIPA000017,0,True,False,0.0
CIT036072,EMP003533,Transport,22.12,SIPA000074,0,True,False,0.0
CIT012309,EMP001445,Meals,22.12,SIPA000009,0,True,False,0.0
CIT034935,EMP003470,Transport,22.09,SIPA000003,0,True,False,0.0
CIT000566,EMP000069,Meals,22.06,SIPA000074,0,True,False,0.0
CIT031326,EMP003305,Transport,21.98,SIPA000002,0,True,False,0.0
CIT016118,EMP001904,Cleaning,21.82,SIPA000046,0,True,False,0.0
CIT022331,EMP002596,Cleaning,21.79,SIPA000027,0,True,False,0.0
CIT009631,EMP001137,Meals,21.67,SIPA000037,0,True,False,0.0
CIT005361,EMP000630,Meals,21.63,SIPA000031,0,True,False,0.0
CIT018347,EMP002152,Cleaning,21.58,SIPA000061,0,True,False,0.0
CIT002382,EMP000296,Meals,21.53,SIPA000004,0,True,False,0.0
CIT000247,EMP000034,Meals,21.47,SIPA000001,0,True,False,0.0
CIT005362,EMP000631,Meals,21.44,SIPA000032,0,True,False,0.0
CIT010553,EMP001233,Meals,21.43,SIPA000057,0,True,False,0.0
CIT003152,EMP000385,Meals,21.38,SIPA000036,0,True,False,0.0
CIT013620,EMP001638,Cleaning,21.34,SIPA000008,0,True,False,0.0
CIT012304,EMP001440,Meals,21.32,SIPA000004,0,True,False,0.0
CIT010505,EMP001226,Meals,21.31,SIPA000009,0,True,False,0.0
CIT008221,EMP000960,Meals,21.28,SIPA000021,0,True,False,0.0
CIT021856,EMP002525,Cleaning,21.25,SIPA000044,0,True,False,0.0
CIT035203,EMP003516,Transport,21.2,SIPA000025,0,True,False,0.0
CIT007344,EMP000861,Meals,21.17,SIPA000046,0,True,False,0.0
CIT004708,EMP000555,Meals,21.09,SIPA000034,0,True,False,0.0
CIT003814,EMP000445,Meals,21.07,SIPA000042,0,True,False,61154.5
CIT003142,EMP000375,Meals,21.04,SIPA000026,0,True,False,0.0
CIT005905,EMP000698,Meals,21.03,SIPA000001,0,True,False,0.0
CIT024590,EMP002864,Cleaning,21.03,SIPA000072,0,True,False,79820.69
CIT001045,EMP000129,Meals,21.01,SIPA000061,0,True,False,0.0
CIT022894,EMP002655,Cleaning,20.94,SIPA000016,0,True,False,0.0
CIT007486,EMP000878,Meals,20.93,SIPA000024,0,True,False,74432.19
CIT009275,EMP001081,Meals,20.88,SIPA000009,0,True,False,0.0
CIT013337,EMP001557,Meals,20.88,SIPA000053,0,True,False,0.0
CIT009283,EMP001089,Meals,20.87,SIPA000017,0,True,False,0.0
CIT000972,EMP000115,Meals,20.81,SIPA000070,0,True,False,0.0
CIT000801,EMP000096,Meals,20.8,SIPA000063,0,True,False,0.0
CIT012299,EMP001435,Meals,20.76,SIPA000081,0,True,False,0.0
CIT008321,EMP000973,Meals,20.76,SIPA000039,0,True,False,0.0
CIT011077,EMP001294,Meals,20.7,SIPA000007,0,True,False,0.0
CIT000564,EMP000067,Meals,20.7,SIPA000072,0,True,False,0.0
CIT005609,EMP000663,Meals,20.68,SIPA000033,0,True,False,0.0
CIT001655,EMP000194,Meals,20.65,SIPA000015,0,True,False,0.0
CIT023460,EMP002717,Cleaning,20.5,SIPA000008,0,True,False,0.0
CIT014712,EMP001750,Cleaning,20.49,SIPA000034,0,True,False,0.0
CIT011485,EMP001346,Meals,20.46,SIPA000005,0,True,False,0.0
CIT011155,EMP001311,Meals,20.44,SIPA000003,0,True,False,0.0
CIT023895,EMP002769,Cleaning,20.33,SIPA000033,0,True,False,0.0
CIT024162,EMP002804,Cleaning,20.33,SIPA000054,0,True,False,0.0
CIT007208,EMP000843,Meals,20.32,SIPA000074,0,True,False,73985.01
CIT012724,EMP001496,Meals,20.24,SIPA000014,0,True,False,0.0
CIT022930,EMP002691,Cleaning,20.23,SIPA000052,0,True,False,0.0
CIT010117,EMP001191,Meals,20.14,SIPA000031,0,True,False,0.0
CIT017742,EMP002072,Cleaning,20.12,SIPA000030,0,True,False,0.0
CIT012302,EMP001438,Meals,20.08,SIPA000002,0,True,False,0.0
CIT012722,EMP001494,Meals,20.04,SIPA000012,0,True,False,0.0
CIT026154,EMP003045,Cleaning,20.03,SIPA000078,0,True,True,0.0
CIT024626,EMP002900,Cleaning,20.03,SIPA000026,0,True,False,0.0
CIT010115,EMP001189,Meals,19.96,SIPA000029,0,True,False,93621.33
CIT017769,EMP002099,Cleaning,19.92,SIPA000057,0,True,True,0.0
CIT000567,EMP000070,Meals,19.89,SIPA000075,0,True,False,91290.84
CIT004961,EMP000583,Meals,19.85,SIPA000041,0,True,False,0.0
CIT018334,EMP002139,Cleaning,19.82,SIPA000048,0,True,False,0.0
CIT000245,EMP000032,Meals,19.74,SIPA000081,0,True,False,0.0
CIT021026,EMP002446,Cleaning,19.69,SIPA000034,0,True,False,0.0
CIT007485,EMP000877,Meals,19.64,SIPA000023,0,True,False,0.0
CIT001054,EMP000138,Meals,19.58,SIPA000070,0,True,False,0.0
CIT001042,EMP000126,Meals,19.58,SIPA000058,0,True,False,0.0
CIT007496,EMP000888,Meals,19.57,SIPA000034,0,True,False,0.0
CIT003135,EMP000368,Meals,19.56,SIPA000019,0,True,False,0.0
CIT015221,EMP001797,Cleaning,19.56,SIPA000051,0,True,False,0.0
CIT010551,EMP001231,Meals,19.56,SIPA000055,0,True,False,0.0
CIT008329,EMP000981,Meals,19.52,SIPA000047,0,True,False,0.0
CIT011763,EMP001383,Meals,19.51,SIPA000037,0,True,False,0.0
CIT012717,EMP001489,Meals,19.51,SIPA000007,0,True,False,0.0
CIT011153,EMP001309,Meals,19.43,SIPA000001,0,True,False,64525.47
CIT000243,EMP000030,Meals,19.36,SIPA000079,0,True,False,0.0
CIT022905,EMP002666,Cleaning,19.35,SIPA000027,0,True,False,0.0
CIT007503,EMP000895,Meals,19.3,SIPA000041,0,True,False,0.0
CIT012713,EMP001485,Meals,19.3,SIPA000003,0,True,False,0.0
CIT008325,EMP000977,Meals,19.21,SIPA000043,0,True,False,0.0
CIT012307,EMP001443,Meals,19.18,SIPA000007,0,True,False,0.0
CIT020270,EMP002345,Cleaning,19.18,SIPA000016,0,True,False,0.0
CIT036664,EMP003581,Transport,19.18,SIPA000010,0,True,False,0.0
CIT023901,EMP002775,Cleaning,19.11,SIPA000039,0,True,False,0.0
CIT030684,EMP003283,Transport,19.11,SIPA000016,0,True,False,0.0
CIT001051,EMP000135,Meals,19.08,SIPA000067,0,True,False,0.0
CIT005910,EMP000703,Meals,19.08,SIPA000006,0,True,False,0.0
CIT022931,EMP002692,Cleaning,19.0,SIPA000053,0,True,False,0.0
CIT011756,EMP001376,Meals,18.96,SIPA000030,0,True,False,0.0
CIT012712,EMP001484,Meals,18.89,SIPA000002,0,True,False,0.0
CIT031327,EMP003306,Transport,18.86,SIPA000003,0,True,False,0.0
CIT010108,EMP001182,Meals,18.85,SIPA000022,0,True,False,0.0
CIT007118,EMP000834,Meals,18.85,SIPA000066,0,True,False,0.0
CIT021880,EMP002549,Cleaning,18.82,SIPA000068,0,True,False,0.0
CIT013584,EMP001602,Cleaning,18.78,SIPA000054,0,True,False,0.0
CIT006744,EMP000796,Meals,18.75,SIPA000020,0,True,False,0.0
CIT000565,EMP000068,Meals,18.73,SIPA000073,0,True,False,0.0
CIT002369,EMP000283,Meals,18.72,SIPA000073,0,True,False,0.0
CIT007211,EMP000846,Meals,18.7,SIPA000077,0,True,False,0.0
CIT002361,EMP000275,Meals,18.66,SIPA000065,0,True,False,0.0
CIT002376,EMP000290,Meals,18.64,SIPA000080,0,True,False,0.0
CIT029664,EMP003228,Transport,18.62,SIPA000062,0,True,False,0.0
CIT006738,EMP000790,Meals,18.61,SIPA000014,0,True,False,0.0
CIT010608,EMP001238,Meals,18.61,SIPA000030,0,True,False,0.0
CIT012711,EMP001483,Meals,18.6,SIPA000001,0,True,False,0.0
CIT003935,EMP000479,Meals,18.59,SIPA000081,0,True,False,0.0
CIT004702,EMP000549,Meals,18.58,SIPA000028,0,True,False,69273.52
CIT007505,EMP000897,Meals,18.56,SIPA000043,0,True,False,0.0
CIT008821,EMP001043,Meals,18.53,SIPA000047,0,True,False,0.0
CIT011768,EMP001388,Meals,18.53,SIPA000042,0,True,False,0.0
CIT001484,EMP000178,Meals,18.41,SIPA000008,0,True,False,0.0
CIT005915,EMP000708,Meals,18.35,SIPA000011,0,True,False,0.0
CIT003793,EMP000442,Meals,18.35,SIPA000021,0,True,False,0.0
CIT000569,EMP000072,Meals,18.34,SIPA000077,0,True,False,0.0
CIT006740,EMP000792,Meals,18.33,SIPA000016,0,True,False,0.0
CIT012308,EMP001444,Meals,18.32,SIPA000008,0,True,False,73777.98
CIT010111,EMP001185,Meals,18.3,SIPA000025,0,True,False,0.0
CIT004960,EMP000582,Meals,18.23,SIPA000040,0,True,False,0.0
CIT000799,EMP000094,Meals,18.18,SIPA000061,0,True,False,0.0
CIT034846,EMP003465,Transport,18.17,SIPA000078,0,True,False,0.0
CIT011484,EMP001345,Meals,18.14,SIPA000004,0,True,False,0.0
CIT011765,EMP001385,Meals,18.13,SIPA000039,0,True,False,0.0
CIT021862,EMP002531,Cleaning,18.12,SIPA000050,0,True,False,0.0
CIT025683,EMP002967,Cleaning,18.12,SIPA000017,0,True,False,0.0
CIT002373,EMP000287,Meals,18.1,SIPA000077,0,True,False,0.0
CIT005924,EMP000717,Meals,18.08,SIPA000020,0,True,False,56470.15
CIT011751,EMP001371,Meals,18.08,SIPA000025,0,True,False,0.0
CIT015597,EMP001825,Cleaning,18.07,SIPA000017,0,True,False,0.0
CIT012301,EMP001437,Meals,18.05,SIPA000001,0,True,False,0.0
CIT005913,EMP000706,Meals,18.04,SIPA000009,0,True,False,0.0
CIT007494,EMP000886,Meals,18.04,SIPA000032,0,True,False,70082.26
CIT006739,EMP000791,Meals,18.01,SIPA000015,0,True,False,0.0
CIT038213,EMP003670,Transport,17.97,SIPA000001,0,True,False,0.0
CIT020299,EMP002351,Cleaning,17.92,SIPA000045,0,True,False,0.0
CIT004972,EMP000594,Meals,17.86,SIPA000052,0,True,True,0.0
CIT024562,EMP002836,Cleaning,17.85,SIPA000044,0,True,False,0.0
CIT008805,EMP001027,Meals,17.82,SIPA000031,0,True,False,0.0
CIT008690,EMP001014,Meals,17.8,SIPA000080,0,True,False,0.0
CIT003926,EMP000470,Meals,17.77,SIPA000072,0,True,False,0.0
CIT009620,EMP001126,Meals,17.77,SIPA000026,0,True,False,0.0
CIT001041,EMP000125,Meals,17.77,SIPA000057,0,True,False,0.0
CIT006746,EMP000798,Meals,17.75,SIPA000022,0,True,False,0.0
CIT024619,EMP002893,Cleaning,17.74,SIPA000019,0,True,False,0.0
CIT005360,EMP000629,Meals,17.72,SIPA000030,0,True,False,93502.76
CIT003923,EMP000467,Meals,17.69,SIPA000069,0,True,False,0.0
CIT003836,EMP000448,Meals,17.67,SIPA000064,0,True,False,0.0
CIT008327,EMP000979,Meals,17.65,SIPA000045,0,True,False,0.0
CIT008689,EMP001013,Meals,17.6,SIPA000079,0,True,False,0.0
CIT029684,EMP003248,Transport,17.59,SIPA000082,0,True,False,0.0
CIT005929,EMP000722,Meals,17.54,SIPA000025,0,True,False,0.0
CIT004967,EMP000589,Meals,17.48,SIPA000047,0,True,False,0.0
CIT004508,EMP000526,Meals,17.47,SIPA000080,0,True,False,0.0
CIT013339,EMP001559,Meals,17.47,SIPA000055,0,True,False,55835.09
CIT022906,EMP002667,Cleaning,17.41,SIPA000028,0,True,False,0.0
CIT011767,EMP001387,Meals,17.39,SIPA000041,0,True,False,0.0
CIT011120,EMP001298,Meals,17.39,SIPA000050,0,True,False,0.0
CIT005912,EMP000705,Meals,17.37,SIPA000008,0,True,False,0.0
CIT012240,EMP001428,Meals,17.37,SIPA000022,0,True,False,0.0
CIT008692,EMP001016,Meals,17.31,SIPA000082,0,True,False,0.0
CIT001048,EMP000132,Meals,17.29,SIPA000064,0,True,False,0.0
CIT011033,EMP001288,Meals,17.29,SIPA000045,0,True,False,0.0
CIT022920,EMP002681,Cleaning,17.28,SIPA000042,0,True,False,0.0
CIT003153,EMP000386,Meals,17.25,SIPA000037,0,True,False,0.0
CIT021029,EMP002449,Cleaning,17.24,SIPA000037,0,True,False,0.0
CIT001043,EMP000127,Meals,17.24,SIPA000059,0,True,False,77987.78
CIT005902,EMP000695,Meals,17.23,SIPA000080,0,True,False,0.0
CIT011154,EMP001310,Meals,17.23,SIPA000002,0,True,False,0.0
CIT012715,EMP001487,Meals,17.21,SIPA000005,0,True,False,0.0
CIT010614,EMP001244,Meals,17.16,SIPA000036,0,True,False,0.0
CIT029427,EMP003212,Transport,17.15,SIPA000071,0,True,False,0.0
CIT011753,EMP001373,Meals,17.15,SIPA000027,0,True,False,0.0
CIT033046,EMP003385,Transport,17.07,SIPA000082,0,True,False,0.0
CIT004511,EMP000529,Meals,17.05,SIPA000001,0,True,True,0.0
CIT016124,EMP001910,Cleaning,17.02,SIPA000052,0,True,False,0.0
CIT013338,EMP001558,Meals,16.97,SIPA000054,0,True,False,56612.68
CIT002385,EMP000299,Meals,16.93,SIPA000007,0,True,False,0.0
CIT005920,EMP000713,Meals,16.93,SIPA000016,0,True,False,0.0
CIT025697,EMP002981,Cleaning,16.9,SIPA000031,0,True,False,0.0
CIT000113,EMP000015,Meals,16.89,SIPA000031,0,True,False,0.0
CIT000001,EMP000001,Meals,16.87,SIPA000001,0,True,False,0.0
CIT004512,EMP000530,Meals,16.84,SIPA000002,0,True,False,0.0
CIT007502,EMP000894,Meals,16.8,SIPA000040,0,True,False,0.0
CIT005610,EMP000664,Meals,16.76,SIPA000034,0,True,False,0.0
CIT037632,EMP003602,Transport,16.74,SIPA000076,0,True,False,0.0
CIT001846,EMP000218,Meals,16.73,SIPA000042,0,True,True,0.0
CIT005919,EMP000712,Meals,16.72,SIPA000015,0,True,False,0.0
CIT002377,EMP000291,Meals,16.72,SIPA000081,0,True,False,0.0
CIT000163,EMP000022,Meals,16.69,SIPA000081,0,True,False,92773.03
CIT009280,EMP001086,Meals,16.69,SIPA000014,0,True,False,0.0
CIT040028,EMP003739,Transport,16.67,SIPA000012,0,True,False,0.0
CIT005916,EMP000709,Meals,16.64,SIPA000012,0,True,False,0.0
CIT003929,EMP000473,Meals,16.6,SIPA000075,0,True,False,0.0
CIT025342,EMP002932,Cleaning,16.58,SIPA000004,0,True,False,0.0
CIT011034,EMP001289,Meals,16.58,SIPA000046,0,True,False,0.0
CIT005911,EMP000704,Meals,16.57,SIPA000007,0,True,False,0.0
CIT009621,EMP001127,Meals,16.56,SIPA000027,0,True,False,70089.26
CIT009282,EMP001088,Meals,16.55,SIPA000016,0,True,False,0.0
CIT002367,EMP000281,Meals,16.53,SIPA000071,0,True,False,0.0
CIT007490,EMP000882,Meals,16.48,SIPA000028,0,True,False,0.0
CIT008323,EMP000975,Meals,16.45,SIPA000041,0,True,False,0.0
CIT003925,EMP000469,Meals,16.43,SIPA000071,0,True,False,0.0
CIT005605,EMP000659,Meals,16.41,SIPA000029,0,True,False,0.0
CIT004970,EMP000592,Meals,16.41,SIPA000050,0,True,False,0.0
CIT004969,EMP000591,Meals,16.4,SIPA000049,0,True,False,0.0
CIT008691,EMP001015,Meals,16.39,SIPA000081,0,True,False,0.0
CIT008809,EMP001031,Meals,16.35,SIPA000035,0,True,False,0.0
CIT008326,EMP000978,Meals,16.34,SIPA000044,0,True,False,0.0
CIT007483,EMP000875,Meals,16.29,SIPA000021,0,True,False,85991.52
CIT004510,EMP000528,Meals,16.27,SIPA000082,0,True,False,0.0
CIT004706,EMP000553,Meals,16.27,SIPA000032,0,True,False,71888.86
CIT002374,EMP000288,Meals,16.19,SIPA000078,0,True,False,0.0
CIT003148,EMP000381,Meals,16.17,SIPA000032,0,True,False,0.0
CIT015599,EMP001827,Cleaning,16.13,SIPA000019,0,True,False,0.0
CIT006748,EMP000800,Meals,16.07,SIPA000024,0,True,False,0.0
CIT007340,EMP000857,Meals,16.05,SIPA000042,0,True,False,0.0
CIT014711,EMP001749,Cleaning,16.05,SIPA000033,0,True,False,0.0
CIT013571,EMP001589,Cleaning,16.04,SIPA000041,0,True,False,0.0
CIT003149,EMP000382,Meals,16.03,SIPA000033,0,True,False,0.0
CIT001053,EMP000137,Meals,16.0,SIPA000069,0,True,False,0.0
CIT007212,EMP000847,Meals,15.99,SIPA000078,0,True,False,0.0
CIT027186,EMP003182,Transport,15.99,SIPA000044,0,True,False,0.0
CIT021885,EMP002554,Cleaning,15.94,SIPA000073,0,True,False,0.0
CIT004968,EMP000590,Meals,15.92,SIPA000048,0,True,False,0.0
CIT011761,EMP001381,Meals,15.86,SIPA000035,0,True,False,0.0
CIT006741,EMP000793,Meals,15.85,SIPA000017,0,True,False,0.0
CIT011759,EMP001379,Meals,15.82,SIPA000033,0,True,False,0.0
CIT003839,EMP000451,Meals,15.79,SIPA000067,0,True,False,0.0
CIT003934,EMP000478,Meals,15.78,SIPA000080,0,True,False,0.0
CIT008819,EMP001041,Meals,15.77,SIPA000045,0,True,False,0.0
CIT003155,EMP000388,Meals,15.76,SIPA000039,0,True,False,67364.42
CIT002371,EMP000285,Meals,15.75,SIPA000075,0,True,False,0.0
CIT006747,EMP000799,Meals,15.75,SIPA000023,0,True,False,0.0
CIT004963,EMP000585,Meals,15.73,SIPA000043,0,True,False,0.0
CIT026153,EMP003044,Cleaning,15.68,SIPA000077,0,True,False,0.0
CIT005608,EMP000662,Meals,15.63,SIPA000032,0,True,False,0.0
CIT003143,EMP000376,Meals,15.61,SIPA000027,0,True,False,0.0
CIT008324,EMP000976,Meals,15.59,SIPA000042,0,True,False,0.0
CIT003918,EMP000462,Meals,15.57,SIPA000064,0,True,False,0.0
CIT007116,EMP000832,Meals,15.53,SIPA000064,0,True,False,0.0
CIT004964,EMP000586,Meals,15.52,SIPA000044,0,True,False,0.0
CIT005366,EMP000635,Meals,15.5,SIPA000036,0,True,False,0.0
CIT012721,EMP001493,Meals,15.49,SIPA000011,0,True,False,0.0
CIT001852,EMP000224,Meals,15.47,SIPA000048,0,True,False,0.0
CIT010610,EMP001240,Meals,15.45,SIPA000032,0,True,False,0.0
CIT036655,EMP003572,Transport,15.43,SIPA000001,0,True,True,0.0
CIT003146,EMP000379,Meals,15.39,SIPA000030,0,True,False,0.0
CIT004957,EMP000579,Meals,15.38,SIPA000037,0,True,False,0.0
CIT026162,EMP003053,Cleaning,15.37,SIPA000004,0,True,False,0.0
CIT003933,EMP000477,Meals,15.3,SIPA000079,0,True,False,0.0
CIT001848,EMP000220,Meals,15.3,SIPA000044,0,True,False,0.0
CIT012710,EMP001482,Meals,15.28,SIPA000082,0,True,False,0.0
CIT005917,EMP000710,Meals,15.28,SIPA000013,0,True,False,0.0
CIT019550,EMP002266,Cleaning,15.24,SIPA000052,0,False,False,164539.57
CIT001855,EMP000227,Meals,15.23,SIPA000051,0,True,False,0.0
CIT001481,EMP000175,Meals,15.23,SIPA000005,0,True,False,0.0
CIT037513,EMP003593,Transport,15.23,SIPA000039,0,True,False,0.0
CIT007484,EMP000876,Meals,15.22,SIPA000022,0,True,False,0.0
CIT000248,EMP000035,Meals,15.2,SIPA000002,0,True,False,0.0
CIT003914,EMP000458,Meals,15.19,SIPA000060,0,True,False,0.0
CIT001479,EMP000173,Meals,15.19,SIPA000003,0,True,False,0.0
CIT002378,EMP000292,Meals,15.18,SIPA000082,0,True,False,0.0
CIT009286,EMP001092,Meals,15.17,SIPA000020,0,True,False,96576.59
CIT023848,EMP002753,Cleaning,15.15,SIPA000068,0,True,False,0.0
CIT009277,EMP001083,Meals,15.12,SIPA000011,0,True,False,0.0
CIT016778,EMP001999,Cleaning,15.12,SIPA000050,0,True,False,0.0
CIT005928,EMP000721,Meals,15.11,SIPA000024,0,True,False,53882.4
CIT014684,EMP001722,Cleaning,15.08,SIPA000006,0,True,False,0.0
CIT009632,EMP001138,Meals,15.07,SIPA000038,0,True,False,0.0
CIT009284,EMP001090,Meals,15.07,SIPA000018,0,True,False,0.0
CIT008824,EMP001046,Meals,15.06,SIPA000050,0,True,False,0.0
CIT011764,EMP001384,Meals,15.06,SIPA000038,0,True,False,0.0
CIT012728,EMP001500,Meals,15.06,SIPA000018,0,True,False,0.0
CIT005903,EMP000696,Meals,15.05,SIPA000081,0,True,False,0.0
CIT005901,EMP000694,Meals,15.01,SIPA000079,0,True,False,0.0
CIT015212,EMP001788,Cleaning,15.0,SIPA000042,0,True,True,0.0
CIT001480,EMP000174,Meals,14.99,SIPA000004,0,True,False,0.0
CIT007341,EMP000858,Meals,14.98,SIPA000043,0,True,False,0.0
CIT002158,EMP000252,Meals,14.96,SIPA000026,0,True,False,0.0
CIT011486,EMP001347,Meals,14.94,SIPA000006,0,True,False,0.0
CIT004509,EMP000527,Meals,14.92,SIPA000081,0,True,False,0.0
CIT000003,EMP000003,Meals,14.86,SIPA000003,0,True,False,0.0
CIT008811,EMP001033,Meals,14.85,SIPA000037,0,True,False,0.0
CIT002363,EMP000277,Meals,14.84,SIPA000067,0,True,False,0.0
CIT000563,EMP000066,Meals,14.84,SIPA000071,0,True,False,0.0
