InvoiceID,CompanyID,Period,ServiceType,TotalHours,TotalAmount,TotalAmountVAT,InvoiceDate,ProcurementID
B2G00000075,COMP000007,2024-09-01,Meals,534.28,278363.29,0.0,2024-10-07,PROC000007
B2G00000076,COMP000007,2024-10-01,Meals,534.4,278423.62,0.0,2024-11-07,PROC000007
B2G00000077,COMP000007,2024-11-01,Meals,535.15,278811.86,0.0,2024-12-07,PROC000007
B2G00000078,COMP000008,2024-01-01,Meals,3087.05,1608350.98,0.0,2024-02-07,PROC000008
B2G00000079,COMP000008,2024-02-01,Meals,3086.92,1608280.3,0.0,2024-03-07,PROC000008
B2G00000080,COMP000008,2024-03-01,Meals,3091.8,1610833.2,0.0,2024-04-07,PROC000008
B2G00000081,COMP000008,2024-04-01,Meals,3090.34,1610064.72,0.0,2024-05-07,PROC000008
B2G00000082,COMP000008,2024-05-01,Meals,3084.05,1606791.49,0.0,2024-06-07,PROC000008
B2G00000083,COMP000008,2024-06-01,Meals,3088.02,1608863.7,0.0,2024-07-07,PROC000008
B2G00000084,COMP000008,2024-07-01,Meals,3090.6,1610200.63,0.0,2024-08-07,PROC000008
B2G00000085,COMP000008,2024-08-01,Meals,3093.69,1611809.72,0.0,2024-09-07,PROC000008
B2G00000086,COMP000008,2024-09-01,Meals,3089.42,1609589.52,0.0,2024-10-07,PROC000008
B2G00000087,COMP000008,2024-10-01,Meals,3087.68,1608683.71,0.0,2024-11-07,PROC000008
B2G00000088,COMP000008,2024-11-01,Meals,3089.23,1609488.63,0.0,2024-12-07,PROC000008
B2G00000089,COMP000009,2024-01-01,Meals,1341.28,698805.61,0.0,2024-02-07,PROC000009
B2G00000090,COMP000009,2024-02-01,Meals,1345.47,700990.6,0.0,2024-03-07,PROC000009
B2G00000091,COMP000009,2024-03-01,Meals,1346.92,701743.5,0.0,2024-04-07,PROC000009
B2G00000092,COMP000009,2024-04-01,Meals,1342.13,699250.17,0.0,2024-05-07,PROC000009
B2G00000093,COMP000009,2024-05-01,Meals,1344.88,700683.98,0.0,2024-06-07,PROC000009
B2G00000094,COMP000009,2024-06-01,Meals,1344.97,700728.86,0.0,2024-07-07,PROC000009
B2G00000095,COMP000009,2024-07-01,Meals,1339.46,697856.34,0.0,2024-08-07,PROC000009
B2G00000096,COMP000009,2024-08-01,Meals,1343.29,699856.52,0.0,2024-09-07,PROC000009
B2G00000097,COMP000009,2024-09-01,Meals,1344.08,700264.79,0.0,2024-10-07,PROC000009
B2G00000098,COMP000009,2024-10-01,Meals,1339.16,697705.19,0.0,2024-11-07,PROC000009
B2G00000099,COMP000009,2024-11-01,Meals,1345.7,701110.18,0.0,2024-12-07,PROC000009
B2G00000100,COMP000010,2024-01-01,Meals,6446.76,3358760.93,0.0,2024-02-07,PROC000010
B2G00000101,COMP000010,2024-02-01,Meals,6454.35,3362719.56,0.0,2024-03-07,PROC000010
B2G00000102,COMP000010,2024-03-01,Meals,6447.06,3358918.03,0.0,2024-04-07,PROC000010
B2G00000103,COMP000010,2024-04-01,Meals,6449.3,3360084.71,0.0,2024-05-07,PROC000010
B2G00000104,COMP000010,2024-05-01,Meals,6445.39,3358049.57,0.0,2024-06-07,PROC000010
B2G00000105,COMP000010,2024-06-01,Meals,6448.24,3359529.24,0.0,2024-07-07,PROC000010
B2G00000106,COMP000010,2024-07-01,Meals,6448.18,3359507.0,0.0,2024-08-07,PROC000010
B2G00000107,COMP000010,2024-08-01,Meals,6452.15,3361570.51,0.0,2024-09-07,PROC000010
B2G00000108,COMP000010,2024-09-01,Meals,6453.6,3362325.05,0.0,2024-10-07,PROC000010
B2G00000109,COMP000010,2024-10-01,Meals,6453.4,3362221.79,0.0,2024-11-07,PROC000010
B2G00000110,COMP000010,2024-11-01,Meals,6447.51,3359154.18,0.0,2024-12-07,PROC000010
B2G00000111,COMP000011,2024-01-01,Meals,2957.46,1540837.46,0.0,2024-02-07,PROC000011
B2G00000112,COMP000011,2024-02-01,Meals,2951.02,1537481.23,0.0,2024-03-07,PROC000011
B2G00000113,COMP000011,2024-03-01,Meals,2953.65,1538853.36,0.0,2024-04-07,PROC000011
B2G00000114,COMP000011,2024-04-01,Meals,2954.86,1539481.17,0.0,2024-05-07,PROC000011
B2G00000115,COMP000011,2024-05-01,Meals,2945.9,1534812.25,0.0,2024-06-07,PROC000011
B2G00000116,COMP000011,2024-06-01,Meals,2962.16,1543279.76,0.0,2024-07-07,PROC000011
B2G00000117,COMP000011,2024-07-01,Meals,2960.1,1542216.56,0.0,2024-08-07,PROC000011
B2G00000118,COMP000011,2024-08-01,Meals,2956.2,1540176.78,0.0,2024-09-07,PROC000011
B2G00000119,COMP000011,2024-09-01,Meals,2957.68,1540949.74,0.0,2024-10-07,PROC000011
B2G00000120,COMP000011,2024-10-01,Meals,2959.69,1541996.73,0.0,2024-11-07,PROC000011
B2G00000121,COMP000011,2024-11-01,Meals,2952.0,1537991.7,0.0,2024-12-07,PROC000011
B2G00000122,COMP000012,2024-01-01,Meals,3078.0,1603638.84,0.0,2024-02-07,PROC000012
B2G00000123,COMP000012,2024-02-01,Meals,3077.8,1603533.2,0.0,2024-03-07,PROC000012
B2G00000124,COMP000012,2024-03-01,Meals,3070.34,1599644.05,0.0,2024-04-07,PROC000012
B2G00000125,COMP000012,2024-04-01,Meals,3078.07,1603680.31,0.0,2024-05-07,PROC000012
B2G00000126,COMP000012,2024-05-01,Meals,3069.47,1599199.53,0.0,2024-06-07,PROC000012
B2G00000127,COMP000012,2024-06-01,Meals,3078.01,1603644.24,0.0,2024-07-07,PROC000012
B2G00000128,COMP000012,2024-07-01,Meals,3069.67,1599299.74,0.0,2024-08-07,PROC000012
B2G00000129,COMP000012,2024-08-01,Meals,3077.88,1603576.12,0.0,2024-09-07,PROC000012
B2G00000130,COMP000012,2024-09-01,Meals,3069.3,1599102.25,0.0,2024-10-07,PROC000012
B2G00000131,COMP000012,2024-10-01,Meals,3074.78,1601960.57,0.0,2024-11-07,PROC000012
B2G00000132,COMP000012,2024-11-01,Meals,3077.7,1603478.09,0.0,2024-12-07,PROC000012
B2G00000133,COMP000013,2024-01-01,Meals,2403.67,1252315.76,0.0,2024-02-07,PROC000013
B2G00000134,COMP000013,2024-02-01,Meals,2405.6,1253315.76,0.0,2024-03-07,PROC000013
B2G00000135,COMP000013,2024-03-01,Meals,2407.97,1254552.41,0.0,2024-04-07,PROC000013
B2G00000136,COMP000013,2024-04-01,Meals,2412.98,1257162.53,0.0,2024-05-07,PROC000013
B2G00000137,COMP000013,2024-05-01,Meals,2402.12,1251508.73,0.0,2024-06-07,PROC000013
B2G00000138,COMP000013,2024-06-01,Meals,2405.38,1253197.26,0.0,2024-07-07,PROC000013
B2G00000139,COMP000013,2024-07-01,Meals,2412.26,1256784.52,0.0,2024-08-07,PROC000013
B2G00000140,COMP000013,2024-08-01,Meals,2403.0,1251963.16,0.0,2024-09-07,PROC000013
B2G00000141,COMP000013,2024-09-01,Meals,2406.83,1253963.4,0.0,2024-10-07,PROC000013
B2G00000142,COMP000013,2024-10-01,Meals,2405.41,1253219.57,0.0,2024-11-07,PROC000013
B2G00000143,COMP000013,2024-11-01,Meals,2409.02,1255099.78,0.0,2024-12-07,PROC000013
B2G00000144,COMP000014,2024-01-01,Meals,5100.68,2657455.61,0.0,2024-02-07,PROC000014
B2G00000145,COMP000014,2024-02-01,Meals,5095.68,2654849.88,0.0,2024-03-07,PROC000014
B2G00000146,COMP000014,2024-03-01,Meals,5102.35,2658321.66,0.0,2024-04-07,PROC000014
B2G00000147,COMP000014,2024-04-01,Meals,5100.78,2657511.49,0.0,2024-05-07,PROC000014
B2G00000148,COMP000014,2024-05-01,Meals,5103.05,2658690.59,0.0,2024-06-07,PROC000014
B2G00000149,COMP000014,2024-06-01,Meals,5097.35,2655717.63,0.0,2024-07-07,PROC000014
B2G00000150,COMP000014,2024-07-01,Meals,5103.76,2659054.08,0.0,2024-08-07,PROC000014
B2G00000151,COMP000014,2024-08-01,Meals,5093.28,2653599.62,0.0,2024-09-07,PROC000014
B2G00000152,COMP000014,2024-09-01,Meals,5104.53,2659461.39,0.0,2024-10-07,PROC000014
B2G00000153,COMP000014,2024-10-01,Meals,5105.84,2660139.73,0.0,2024-11-07,PROC000014
B2G00000154,COMP000014,2024-11-01,Meals,5105.12,2659769.12,0.0,2024-12-07,PROC000014
B2G00000155,COMP000015,2024-01-01,Meals,3362.51,1751867.72,0.0,2024-02-07,PROC000015
B2G00000156,COMP000015,2024-02-01,Meals,3360.42,1750777.94,0.0,2024-03-07,PROC000015
B2G00000157,COMP000015,2024-03-01,Meals,3353.84,1747351.28,0.0,2024-04-07,PROC000015
B2G00000158,COMP000015,2024-04-01,Meals,3359.34,1750213.89,0.0,2024-05-07,PROC000015
B2G00000159,COMP000015,2024-05-01,Meals,3359.11,1750096.35,0.0,2024-06-07,PROC000015
B2G00000160,COMP000015,2024-06-01,Meals,3359.87,1750494.68,0.0,2024-07-07,PROC000015
B2G00000161,COMP000015,2024-07-01,Meals,3355.55,1748240.56,0.0,2024-08-07,PROC000015
B2G00000162,COMP000015,2024-08-01,Meals,3361.58,1751383.18,0.0,2024-09-07,PROC000015
B2G00000163,COMP000015,2024-09-01,Meals,3358.22,1749632.26,0.0,2024-10-07,PROC000015
B2G00000164,COMP000015,2024-10-01,Meals,3361.86,1751530.18,0.0,2024-11-07,PROC000015
B2G00000165,COMP000015,2024-11-01,Meals,3362.77,1752003.54,0.0,2024-12-07,PROC000015
B2G00000166,COMP000016,2024-01-01,Meals,14801.78,7711736.32,0.0,2024-02-07,PROC000016
B2G00000167,COMP000016,2024-02-01,Meals,14804.5,7713137.5,0.0,2024-03-07,PROC000016
B2G00000168,COMP000016,2024-03-01,Meals,14799.61,7710594.27,0.0,2024-04-07,PROC000016
B2G00000169,COMP000016,2024-04-01,Meals,14795.15,7708257.08,0.0,2024-05-07,PROC000016
B2G00000170,COMP000016,2024-05-01,Meals,14809.13,7715562.59,0.0,2024-06-07,PROC000016
B2G00000171,COMP000016,2024-06-01,Meals,14828.36,7725566.84,0.0,2024-07-07,PROC000016
B2G00000172,COMP000016,2024-07-01,Meals,14808.71,7715334.48,0.0,2024-08-07,PROC000016
B2G00000173,COMP000016,2024-08-01,Meals,14825.69,7724195.94,0.0,2024-09-07,PROC000016
B2G00000174,COMP000016,2024-09-01,Meals,14810.34,7716204.8,0.0,2024-10-07,PROC000016
B2G00000175,COMP000016,2024-10-01,Meals,14818.48,7720431.52,0.0,2024-11-07,PROC000016
B2G00000176,COMP000016,2024-11-01,Meals,14813.13,7717639.49,0.0,2024-12-07,PROC000016
B2G00000177,COMP000017,2024-01-01,Meals,12694.67,6613921.01,0.0,2024-02-07,PROC000017
B2G00000178,COMP000017,2024-02-01,Meals,12714.04,6624016.31,0.0,2024-03-07,PROC000017
B2G00000179,COMP000017,2024-03-01,Meals,12715.73,6624896.01,0.0,2024-04-07,PROC000017
B2G00000180,COMP000017,2024-04-01,Meals,12698.49,6615912.1,0.0,2024-05-07,PROC000017
B2G00000181,COMP000017,2024-05-01,Meals,12698.99,6616177.64,0.0,2024-06-07,PROC000017
B2G00000182,COMP000017,2024-06-01,Meals,12706.14,6619892.31,0.0,2024-07-07,PROC000017
B2G00000183,COMP000017,2024-07-01,Meals,12700.52,6616957.25,0.0,2024-08-07,PROC000017
B2G00000184,COMP000017,2024-08-01,Meals,12714.23,6624117.01,0.0,2024-09-07,PROC000017
B2G00000185,COMP000017,2024-09-01,Meals,12703.79,6618675.73,0.0,2024-10-07,PROC000017
B2G00000186,COMP000017,2024-10-01,Meals,12701.94,6617711.93,0.0,2024-11-07,PROC000017
B2G00000187,COMP000017,2024-11-01,Meals,12700.05,6616735.49,0.0,2024-12-07,PROC000017
B2G00000188,COMP000018,2024-01-01,Meals,528.38,275283.11,0.0,2024-02-07,PROC000018
B2G00000189,COMP000018,2024-02-01,Meals,531.86,277097.41,0.0,2024-03-07,PROC000018
B2G00000190,COMP000018,2024-03-01,Meals,529.57,275902.64,0.0,2024-04-07,PROC000018
B2G00000191,COMP000018,2024-04-01,Meals,533.02,277705.28,0.0,2024-05-07,PROC000018
B2G00000192,COMP000018,2024-05-01,Meals,534.33,278384.57,0.0,2024-06-07,PROC000018
B2G00000193,COMP000018,2024-06-01,Meals,531.25,276782.5,0.0,2024-07-07,PROC000018
B2G00000194,COMP000018,2024-07-01,Meals,529.75,276000.18,0.0,2024-08-07,PROC000018
B2G00000195,COMP000018,2024-08-01,Meals,532.11,277229.96,0.0,2024-09-07,PROC000018
B2G00000196,COMP000018,2024-09-01,Meals,534.01,278220.47,0.0,2024-10-07,PROC000018
B2G00000197,COMP000018,2024-10-01,Meals,532.21,277280.56,0.0,2024-11-07,PROC000018
B2G00000198,COMP000018,2024-11-01,Meals,533.05,277720.79,0.0,2024-12-07,PROC000018
B2G00000199,COMP000019,2024-01-01,Meals,537.42,279992.42,0.0,2024-02-07,PROC000019
B2G00000200,COMP000019,2024-02-01,Meals,537.85,280220.02,0.0,2024-03-07,PROC000019
B2G00000201,COMP000019,2024-03-01,Meals,537.35,279958.86,0.0,2024-04-07,PROC000019
B2G00000202,COMP000019,2024-04-01,Meals,537.63,280106.22,0.0,2024-05-07,PROC000019
B2G00000203,COMP000019,2024-05-01,Meals,538.67,280644.3,0.0,2024-06-07,PROC000019
B2G00000204,COMP000019,2024-06-01,Meals,537.74,280159.0,0.0,2024-07-07,PROC000019
B2G00000205,COMP000019,2024-07-01,Meals,537.61,280094.27,0.0,2024-08-07,PROC000019
B2G00000206,COMP000019,2024-08-01,Meals,536.09,279303.72,0.0,2024-09-07,PROC000019
B2G00000207,COMP000019,2024-09-01,Meals,535.82,279163.33,0.0,2024-10-07,PROC000019
B2G00000208,COMP000019,2024-10-01,Meals,538.57,280594.99,0.0,2024-11-07,PROC000019
B2G00000209,COMP000019,2024-11-01,Meals,538.27,280441.15,0.0,2024-12-07,PROC000019
B2G00000210,COMP000020,2024-01-01,Meals,1614.15,840970.78,0.0,2024-02-07,PROC000020
B2G00000211,COMP000020,2024-02-01,Meals,1617.27,842596.39,0.0,2024-03-07,PROC000020
B2G00000212,COMP000020,2024-03-01,Meals,1617.08,842495.54,0.0,2024-04-07,PROC000020
B2G00000213,COMP000020,2024-04-01,Meals,1616.29,842087.23,0.0,2024-05-07,PROC000020
B2G00000214,COMP000020,2024-05-01,Meals,1617.5,842721.21,0.0,2024-06-07,PROC000020
B2G00000215,COMP000020,2024-06-01,Meals,1613.16,840457.86,0.0,2024-07-07,PROC000020
B2G00000216,COMP000020,2024-07-01,Meals,1614.45,841130.8,0.0,2024-08-07,PROC000020
B2G00000217,COMP000020,2024-08-01,Meals,1609.32,838457.35,0.0,2024-09-07,PROC000020
B2G00000218,COMP000020,2024-09-01,Meals,1617.54,842733.21,0.0,2024-10-07,PROC000020
B2G00000219,COMP000020,2024-10-01,Meals,1612.75,840247.97,0.0,2024-11-07,PROC000020
B2G00000220,COMP000020,2024-11-01,Meals,1614.24,841017.89,0.0,2024-12-07,PROC000020
B2G00000221,COMP000021,2024-01-01,Meals,9134.06,4758839.62,0.0,2024-02-07,PROC000021
B2G00000222,COMP000021,2024-02-01,Meals,9123.25,4753208.43,0.0,2024-03-07,PROC000021
B2G00000223,COMP000021,2024-03-01,Meals,9140.03,4761962.62,0.0,2024-04-07,PROC000021
B2G00000224,COMP000021,2024-04-01,Meals,9137.63,4760705.94,0.0,2024-05-07,PROC000021
B2G00000225,COMP000021,2024-05-01,Meals,9143.25,4763627.36,0.0,2024-06-07,PROC000021
B2G00000226,COMP000021,2024-06-01,Meals,9138.56,4761191.55,0.0,2024-07-07,PROC000021
B2G00000227,COMP000021,2024-07-01,Meals,9135.53,4759612.44,0.0,2024-08-07,PROC000021
B2G00000228,COMP000021,2024-08-01,Meals,9138.25,4761026.75,0.0,2024-09-07,PROC000021
B2G00000229,COMP000021,2024-09-01,Meals,9141.4,4762667.56,0.0,2024-10-07,PROC000021
B2G00000230,COMP000021,2024-10-01,Meals,9137.59,4760687.48,0.0,2024-11-07,PROC000021
B2G00000231,COMP000021,2024-11-01,Meals,9142.39,4763179.85,0.0,2024-12-07,PROC000021
B2G00000232,COMP000022,2024-01-01,Meals,3347.68,1744142.06,0.0,2024-02-07,PROC000022
B2G00000233,COMP000022,2024-02-01,Meals,3346.62,1743586.21,0.0,2024-03-07,PROC000022
B2G00000234,COMP000022,2024-03-01,Meals,3347.57,1744083.66,0.0,2024-04-07,PROC000022
B2G00000235,COMP000022,2024-04-01,Meals,3345.65,1743084.52,0.0,2024-05-07,PROC000022
B2G00000236,COMP000022,2024-05-01,Meals,3352.61,1746708.91,0.0,2024-06-07,PROC000022
B2G00000237,COMP000022,2024-06-01,Meals,3347.8,1744202.68,0.0,2024-07-07,PROC000022
B2G00000238,COMP000022,2024-07-01,Meals,3348.72,1744683.62,0.0,2024-08-07,PROC000022
B2G00000239,COMP000022,2024-08-01,Meals,3351.32,1746039.39,0.0,2024-09-07,PROC000022
B2G00000240,COMP000022,2024-09-01,Meals,3347.73,1744170.49,0.0,2024-10-07,PROC000022
B2G00000241,COMP000022,2024-10-01,Meals,3345.21,1742855.07,0.0,2024-11-07,PROC000022
B2G00000242,COMP000022,2024-11-01,Meals,3355.18,1748048.92,0.0,2024-12-07,PROC000022
B2G00000243,COMP000023,2024-01-01,Meals,4300.39,2240501.61,0.0,2024-02-07,PROC000023
B2G00000244,COMP000023,2024-02-01,Meals,4302.08,2241388.88,0.0,2024-03-07,PROC000023
B2G00000245,COMP000023,2024-03-01,Meals,4291.77,2236011.8,0.0,2024-04-07,PROC000023
B2G00000246,COMP000023,2024-04-01,Meals,4297.17,2238829.4,0.0,2024-05-07,PROC000023
B2G00000247,COMP000023,2024-05-01,Meals,4297.44,2238964.54,0.0,2024-06-07,PROC000023
B2G00000248,COMP000023,2024-06-01,Meals,4291.49,2235870.47,0.0,2024-07-07,PROC000023
B2G00000249,COMP000023,2024-07-01,Meals,4298.27,2239401.13,0.0,2024-08-07,PROC000023
B2G00000250,COMP000023,2024-08-01,Meals,4297.84,2239176.66,0.0,2024-09-07,PROC000023
B2G00000251,COMP000023,2024-09-01,Meals,4300.3,2240455.92,0.0,2024-10-07,PROC000023
B2G00000252,COMP000023,2024-10-01,Meals,4294.2,2237277.71,0.0,2024-11-07,PROC000023
B2G00000253,COMP000023,2024-11-01,Meals,4287.12,2233589.52,0.0,2024-12-07,PROC000023
B2G00000254,COMP000024,2024-01-01,Meals,6448.54,3359692.97,0.0,2024-02-07,PROC000024
B2G00000255,COMP000024,2024-02-01,Meals,6452.23,3361613.35,0.0,2024-03-07,PROC000024
B2G00000256,COMP000024,2024-03-01,Meals,6452.25,3361625.34,0.0,2024-04-07,PROC000024
B2G00000257,COMP000024,2024-04-01,Meals,6455.0,3363057.82,0.0,2024-05-07,PROC000024
B2G00000258,COMP000024,2024-05-01,Meals,6456.05,3363595.94,0.0,2024-06-07,PROC000024
B2G00000259,COMP000024,2024-06-01,Meals,6450.09,3360500.89,0.0,2024-07-07,PROC000024
B2G00000260,COMP000024,2024-07-01,Meals,6455.78,3363459.93,0.0,2024-08-07,PROC000024
B2G00000261,COMP000024,2024-08-01,Meals,6451.58,3361278.09,0.0,2024-09-07,PROC000024
B2G00000262,COMP000024,2024-09-01,Meals,6443.72,3357177.73,0.0,2024-10-07,PROC000024
B2G00000263,COMP000024,2024-10-01,Meals,6449.81,3360356.82,0.0,2024-11-07,PROC000024
B2G00000264,COMP000024,2024-11-01,Meals,6444.03,3357341.24,0.0,2024-12-07,PROC000024
B2G00000265,COMP000025,2024-01-01,Meals,4299.83,2240209.62,0.0,2024-02-07,PROC000025
B2G00000266,COMP000025,2024-02-01,Meals,4306.93,2243907.85,0.0,2024-03-07,PROC000025
B2G00000267,COMP000025,2024-03-01,Meals,4303.08,2241904.4,0.0,2024-04-07,PROC000025
B2G00000268,COMP000025,2024-04-01,Meals,4303.16,2241949.76,0.0,2024-05-07,PROC000025
B2G00000269,COMP000025,2024-05-01,Meals,4295.41,2237910.93,0.0,2024-06-07,PROC000025
