InvoiceID,SupplierID,CompanyID,GoodsCode,Quantity,UnitPrice,TotalAmount,TotalAmountVAT,InvoiceDate
B2B00000042,SUPP_001,COMP000001,2104,30.652,44.14,1352.99,338.25,2024-04-01
B2B00000043,SUPP_001,COMP000001,2710,163.927,15.21,2493.34,623.34,2024-04-01
B2B00000044,SUPP_001,COMP000001,3923,12.24,21.58,264.13,66.03,2024-04-01
B2B00000045,SUPP_001,COMP000001,401,12.95,11.76,152.29,38.07,2024-05-06
B2B00000046,SUPP_001,COMP000001,702,14.338,34.29,491.65,122.91,2024-05-06
B2B00000047,SUPP_001,COMP000001,703,4.957,27.46,136.11,34.03,2024-05-06
B2B00000048,SUPP_001,COMP000001,1512,2.542,17.69,44.97,11.24,2024-05-06
B2B00000049,SUPP_001,COMP000001,1601,12.798,83.34,1066.56,266.64,2024-05-06
B2B00000050,SUPP_001,COMP000001,1602,36.394,117.47,4275.17,1068.79,2024-05-06
B2B00000051,SUPP_001,COMP000001,1901,24.488,24.54,600.94,150.24,2024-05-06
B2B00000052,SUPP_001,COMP000001,2005,19.282,34.34,662.14,165.54,2024-05-06
B2B00000053,SUPP_001,COMP000001,2104,29.665,44.08,1307.66,326.92,2024-05-06
B2B00000054,SUPP_001,COMP000001,2710,169.367,15.16,2567.61,641.9,2024-05-06
B2B00000055,SUPP_001,COMP000001,3923,11.811,21.55,254.53,63.63,2024-05-06
B2B00000056,SUPP_001,COMP000001,401,12.79,11.76,150.42,37.6,2024-06-03
B2B00000057,SUPP_001,COMP000001,702,15.15,34.29,519.5,129.88,2024-06-03
B2B00000058,SUPP_001,COMP000001,703,5.148,27.46,141.36,35.34,2024-06-03
B2B00000059,SUPP_001,COMP000001,1512,2.419,17.69,42.79,10.7,2024-06-03
B2B00000060,SUPP_001,COMP000001,1601,12.969,83.34,1080.86,270.21,2024-06-03
B2B00000061,SUPP_001,COMP000001,1602,37.839,117.47,4444.96,1111.24,2024-06-03
B2B00000062,SUPP_001,COMP000001,1901,23.99,24.54,588.71,147.18,2024-06-03
B2B00000063,SUPP_001,COMP000001,2005,19.726,34.34,677.39,169.35,2024-06-03
B2B00000064,SUPP_001,COMP000001,2104,30.134,44.08,1328.32,332.08,2024-06-03
B2B00000065,SUPP_001,COMP000001,2710,156.64,15.16,2374.67,593.67,2024-06-03
B2B00000066,SUPP_001,COMP000001,3923,12.783,21.55,275.48,68.87,2024-06-03
B2B00000067,SUPP_001,COMP000001,401,12.709,11.76,149.45,37.36,2024-07-01
B2B00000068,SUPP_001,COMP000001,702,14.455,34.29,495.65,123.91,2024-07-01
B2B00000069,SUPP_001,COMP000001,703,5.129,27.46,140.83,35.21,2024-07-01
B2B00000070,SUPP_001,COMP000001,1512,2.513,17.69,44.46,11.12,2024-07-01
B2B00000071,SUPP_001,COMP000001,1601,12.021,83.34,1001.81,250.45,2024-07-01
B2B00000072,SUPP_001,COMP000001,1602,35.775,117.47,4202.45,1050.61,2024-07-01
B2B00000073,SUPP_001,COMP000001,1901,23.915,24.54,586.88,146.72,2024-07-01
B2B00000074,SUPP_001,COMP000001,2005,19.246,34.34,660.9,165.22,2024-07-01
B2B00000075,SUPP_001,COMP000001,2104,30.49,44.08,1343.99,336.0,2024-07-01
B2B00000076,SUPP_001,COMP000001,2710,162.558,15.16,2464.37,616.09,2024-07-01
B2B00000077,SUPP_001,COMP000001,3923,12.268,21.55,264.37,66.09,2024-07-01
B2B00000078,SUPP_001,COMP000001,401,13.048,11.77,153.58,38.4,2024-08-05
B2B00000079,SUPP_001,COMP000001,702,14.535,34.27,498.1,124.52,2024-08-05
B2B00000080,SUPP_001,COMP000001,703,4.978,27.38,136.3,34.08,2024-08-05
B2B00000081,SUPP_001,COMP000001,1512,2.608,17.69,46.14,11.54,2024-08-05
B2B00000082,SUPP_001,COMP000001,1601,12.646,83.65,1057.85,264.46,2024-08-05
B2B00000083,SUPP_001,COMP000001,1602,36.57,117.84,4309.36,1077.34,2024-08-05
B2B00000084,SUPP_001,COMP000001,1901,24.681,24.52,605.18,151.29,2024-08-05
B2B00000085,SUPP_001,COMP000001,2005,19.226,34.47,662.73,165.68,2024-08-05
B2B00000086,SUPP_001,COMP000001,2104,30.409,43.92,1335.54,333.88,2024-08-05
B2B00000087,SUPP_001,COMP000001,2710,160.519,15.16,2433.47,608.37,2024-08-05
B2B00000088,SUPP_001,COMP000001,3923,12.228,21.51,263.02,65.76,2024-08-05
B2B00000089,SUPP_001,COMP000001,401,12.861,11.77,151.38,37.84,2024-09-02
B2B00000090,SUPP_001,COMP000001,702,14.259,34.27,488.64,122.16,2024-09-02
B2B00000091,SUPP_001,COMP000001,703,5.161,27.38,141.31,35.33,2024-09-02
B2B00000092,SUPP_001,COMP000001,1512,2.473,17.69,43.75,10.94,2024-09-02
B2B00000093,SUPP_001,COMP000001,1601,12.764,83.65,1067.74,266.94,2024-09-02
B2B00000094,SUPP_001,COMP000001,1602,38.452,117.84,4531.17,1132.79,2024-09-02
B2B00000095,SUPP_001,COMP000001,1901,25.425,24.52,623.42,155.85,2024-09-02
B2B00000096,SUPP_001,COMP000001,2005,19.838,34.47,683.83,170.96,2024-09-02
B2B00000097,SUPP_001,COMP000001,2104,28.742,43.92,1262.37,315.59,2024-09-02
B2B00000098,SUPP_001,COMP000001,2710,161.887,15.16,2454.21,613.55,2024-09-02
B2B00000099,SUPP_001,COMP000001,3923,12.852,21.51,276.45,69.11,2024-09-02
B2B00000100,SUPP_001,COMP000001,401,12.101,11.78,142.55,35.64,2024-10-07
B2B00000101,SUPP_001,COMP000001,702,15.419,34.41,530.56,132.64,2024-10-07
B2B00000102,SUPP_001,COMP000001,703,5.208,27.29,142.12,35.53,2024-10-07
B2B00000103,SUPP_001,COMP000001,1512,2.545,17.66,44.94,11.24,2024-10-07
B2B00000104,SUPP_001,COMP000001,1601,12.549,83.96,1053.6,263.4,2024-10-07
B2B00000105,SUPP_001,COMP000001,1602,38.475,118.16,4546.16,1136.54,2024-10-07
B2B00000106,SUPP_001,COMP000001,1901,26.009,24.58,639.3,159.82,2024-10-07
B2B00000107,SUPP_001,COMP000001,2005,20.693,34.38,711.42,177.86,2024-10-07
B2B00000108,SUPP_001,COMP000001,2104,31.265,43.94,1373.78,343.44,2024-10-07
B2B00000109,SUPP_001,COMP000001,2710,162.739,15.14,2463.86,615.96,2024-10-07
B2B00000110,SUPP_001,COMP000001,3923,12.213,21.47,262.22,65.56,2024-10-07
B2B00000111,SUPP_001,COMP000001,401,12.211,11.78,143.85,35.96,2024-11-04
B2B00000112,SUPP_001,COMP000001,702,14.321,34.41,492.8,123.2,2024-11-04
B2B00000113,SUPP_001,COMP000001,703,4.947,27.29,135.02,33.76,2024-11-04
B2B00000114,SUPP_001,COMP000001,1512,2.383,17.66,42.08,10.52,2024-11-04
B2B00000115,SUPP_001,COMP000001,1601,12.324,83.96,1034.76,258.69,2024-11-04
B2B00000116,SUPP_001,COMP000001,1602,37.212,118.16,4396.99,1099.25,2024-11-04
B2B00000117,SUPP_001,COMP000001,1901,24.484,24.58,601.81,150.45,2024-11-04
B2B00000118,SUPP_001,COMP000001,2005,20.609,34.38,708.52,177.13,2024-11-04
B2B00000119,SUPP_001,COMP000001,2104,30.697,43.94,1348.85,337.21,2024-11-04
B2B00000120,SUPP_001,COMP000001,2710,167.239,15.14,2532.0,633.0,2024-11-04
B2B00000121,SUPP_001,COMP000001,3923,12.946,21.47,277.95,69.49,2024-11-04
B2B00000122,SUPP_001,COMP000002,401,11.114,12.26,136.25,34.06,2024-01-01
B2B00000123,SUPP_001,COMP000002,702,13.51,35.77,483.25,120.81,2024-01-01
B2B00000124,SUPP_001,COMP000002,703,4.387,28.62,125.57,31.39,2024-01-01
B2B00000125,SUPP_001,COMP000002,1512,2.182,18.4,40.15,10.04,2024-01-01
B2B00000126,SUPP_001,COMP000002,1601,10.933,86.87,949.72,237.43,2024-01-01
B2B00000127,SUPP_001,COMP000002,1602,33.246,122.64,4077.27,1019.32,2024-01-01
B2B00000128,SUPP_001,COMP000002,1901,21.499,25.55,549.3,137.32,2024-01-01
B2B00000129,SUPP_001,COMP000002,2005,16.567,35.77,592.62,148.16,2024-01-01
B2B00000130,SUPP_001,COMP000002,2104,25.681,45.99,1181.08,295.27,2024-01-01
B2B00000131,SUPP_001,COMP000002,2710,140.657,15.84,2228.01,557.0,2024-01-01
B2B00000132,SUPP_001,COMP000002,3923,10.861,22.48,244.15,61.04,2024-01-01
B2B00000133,SUPP_001,COMP000002,401,10.446,12.26,128.07,32.02,2024-02-05
B2B00000134,SUPP_001,COMP000002,702,13.702,35.77,490.13,122.53,2024-02-05
B2B00000135,SUPP_001,COMP000002,703,4.385,28.62,125.51,31.38,2024-02-05
B2B00000136,SUPP_001,COMP000002,1512,2.282,18.4,41.98,10.5,2024-02-05
B2B00000137,SUPP_001,COMP000002,1601,11.035,86.87,958.57,239.64,2024-02-05
B2B00000138,SUPP_001,COMP000002,1602,32.724,122.64,4013.27,1003.32,2024-02-05
B2B00000139,SUPP_001,COMP000002,1901,22.592,25.55,577.23,144.31,2024-02-05
B2B00000140,SUPP_001,COMP000002,2005,16.745,35.77,598.96,149.74,2024-02-05
B2B00000141,SUPP_001,COMP000002,2104,25.391,45.99,1167.73,291.93,2024-02-05
B2B00000142,SUPP_001,COMP000002,2710,142.439,15.84,2256.24,564.06,2024-02-05
B2B00000143,SUPP_001,COMP000002,3923,10.856,22.48,244.03,61.01,2024-02-05
B2B00000144,SUPP_001,COMP000002,401,10.987,12.26,134.7,33.67,2024-03-04
B2B00000145,SUPP_001,COMP000002,702,12.953,35.77,463.34,115.84,2024-03-04
B2B00000146,SUPP_001,COMP000002,703,4.423,28.62,126.58,31.64,2024-03-04
B2B00000147,SUPP_001,COMP000002,1512,2.085,18.4,38.37,9.59,2024-03-04
B2B00000148,SUPP_001,COMP000002,1601,10.961,86.87,952.15,238.04,2024-03-04
B2B00000149,SUPP_001,COMP000002,1602,33.975,122.64,4166.68,1041.67,2024-03-04
B2B00000150,SUPP_001,COMP000002,1901,22.695,25.55,579.86,144.96,2024-03-04
B2B00000151,SUPP_001,COMP000002,2005,17.913,35.77,640.76,160.19,2024-03-04
B2B00000152,SUPP_001,COMP000002,2104,26.927,45.99,1238.36,309.59,2024-03-04
B2B00000153,SUPP_001,COMP000002,2710,138.841,15.84,2199.25,549.81,2024-03-04
B2B00000154,SUPP_001,COMP000002,3923,10.902,22.48,245.08,61.27,2024-03-04
B2B00000155,SUPP_001,COMP000002,401,10.482,12.26,128.51,32.13,2024-04-01
B2B00000156,SUPP_001,COMP000002,702,12.72,35.77,455.01,113.75,2024-04-01
B2B00000157,SUPP_001,COMP000002,703,4.468,28.62,127.88,31.97,2024-04-01
B2B00000158,SUPP_001,COMP000002,1512,2.218,18.4,40.81,10.2,2024-04-01
B2B00000159,SUPP_001,COMP000002,1601,11.248,86.87,977.08,244.27,2024-04-01
B2B00000160,SUPP_001,COMP000002,1602,33.127,122.64,4062.68,1015.67,2024-04-01
B2B00000161,SUPP_001,COMP000002,1901,20.783,25.55,531.01,132.75,2024-04-01
B2B00000162,SUPP_001,COMP000002,2005,16.808,35.77,601.21,150.3,2024-04-01
B2B00000163,SUPP_001,COMP000002,2104,26.509,45.99,1219.17,304.79,2024-04-01
B2B00000164,SUPP_001,COMP000002,2710,147.276,15.84,2332.86,583.22,2024-04-01
B2B00000165,SUPP_001,COMP000002,3923,10.47,22.48,235.38,58.84,2024-04-01
B2B00000166,SUPP_001,COMP000002,401,11.312,12.25,138.58,34.65,2024-05-06
B2B00000167,SUPP_001,COMP000002,702,13.213,35.72,471.97,117.99,2024-05-06
B2B00000168,SUPP_001,COMP000002,703,4.364,28.61,124.87,31.22,2024-05-06
B2B00000169,SUPP_001,COMP000002,1512,2.172,18.43,40.03,10.01,2024-05-06
B2B00000170,SUPP_001,COMP000002,1601,10.953,86.82,950.92,237.73,2024-05-06
B2B00000171,SUPP_001,COMP000002,1602,34.083,122.38,4171.12,1042.78,2024-05-06
B2B00000172,SUPP_001,COMP000002,1901,22.255,25.57,569.06,142.26,2024-05-06
B2B00000173,SUPP_001,COMP000002,2005,16.547,35.78,592.04,148.01,2024-05-06
B2B00000174,SUPP_001,COMP000002,2104,25.171,45.92,1155.83,288.96,2024-05-06
B2B00000175,SUPP_001,COMP000002,2710,141.79,15.79,2238.87,559.72,2024-05-06
B2B00000176,SUPP_001,COMP000002,3923,10.73,22.45,240.89,60.22,2024-05-06
B2B00000177,SUPP_001,COMP000002,401,10.602,12.25,129.87,32.47,2024-06-03
B2B00000178,SUPP_001,COMP000002,702,13.299,35.72,475.05,118.76,2024-06-03
B2B00000179,SUPP_001,COMP000002,703,4.411,28.61,126.2,31.55,2024-06-03
B2B00000180,SUPP_001,COMP000002,1512,2.21,18.43,40.73,10.18,2024-06-03
B2B00000181,SUPP_001,COMP000002,1601,11.273,86.82,978.74,244.68,2024-06-03
B2B00000182,SUPP_001,COMP000002,1602,31.486,122.38,3853.3,963.32,2024-06-03
B2B00000183,SUPP_001,COMP000002,1901,22.357,25.57,571.66,142.92,2024-06-03
B2B00000184,SUPP_001,COMP000002,2005,17.362,35.78,621.22,155.3,2024-06-03
B2B00000185,SUPP_001,COMP000002,2104,25.436,45.92,1168.01,292.0,2024-06-03
B2B00000186,SUPP_001,COMP000002,2710,138.013,15.79,2179.23,544.81,2024-06-03
B2B00000187,SUPP_001,COMP000002,3923,11.067,22.45,248.45,62.11,2024-06-03
B2B00000188,SUPP_001,COMP000002,401,11.371,12.25,139.3,34.83,2024-07-01
B2B00000189,SUPP_001,COMP000002,702,13.274,35.72,474.15,118.54,2024-07-01
B2B00000190,SUPP_001,COMP000002,703,4.496,28.61,128.64,32.16,2024-07-01
B2B00000191,SUPP_001,COMP000002,1512,2.203,18.43,40.6,10.15,2024-07-01
B2B00000192,SUPP_001,COMP000002,1601,10.604,86.82,920.67,230.17,2024-07-01
B2B00000193,SUPP_001,COMP000002,1602,31.748,122.38,3885.34,971.34,2024-07-01
B2B00000194,SUPP_001,COMP000002,1901,21.907,25.57,560.16,140.04,2024-07-01
B2B00000195,SUPP_001,COMP000002,2005,17.423,35.78,623.4,155.85,2024-07-01
B2B00000196,SUPP_001,COMP000002,2104,25.246,45.92,1159.31,289.83,2024-07-01
B2B00000197,SUPP_001,COMP000002,2710,143.382,15.79,2263.99,566.0,2024-07-01
B2B00000198,SUPP_001,COMP000002,3923,10.995,22.45,246.83,61.71,2024-07-01
B2B00000199,SUPP_001,COMP000002,401,11.192,12.26,137.21,34.3,2024-08-05
B2B00000200,SUPP_001,COMP000002,702,12.421,35.7,443.41,110.85,2024-08-05
B2B00000201,SUPP_001,COMP000002,703,4.214,28.52,120.17,30.04,2024-08-05
B2B00000202,SUPP_001,COMP000002,1512,2.197,18.43,40.48,10.12,2024-08-05
B2B00000203,SUPP_001,COMP000002,1601,10.387,87.15,905.23,226.31,2024-08-05
B2B00000204,SUPP_001,COMP000002,1602,32.573,122.76,3998.67,999.67,2024-08-05
B2B00000205,SUPP_001,COMP000002,1901,22.551,25.54,575.94,143.99,2024-08-05
B2B00000206,SUPP_001,COMP000002,2005,17.098,35.91,613.99,153.5,2024-08-05
B2B00000207,SUPP_001,COMP000002,2104,27.106,45.75,1240.11,310.03,2024-08-05
B2B00000208,SUPP_001,COMP000002,2710,141.241,15.79,2230.19,557.55,2024-08-05
B2B00000209,SUPP_001,COMP000002,3923,10.487,22.41,235.0,58.75,2024-08-05
B2B00000210,SUPP_001,COMP000002,401,10.806,12.26,132.48,33.12,2024-09-02
B2B00000211,SUPP_001,COMP000002,702,12.406,35.7,442.91,110.73,2024-09-02
B2B00000212,SUPP_001,COMP000002,703,4.432,28.52,126.4,31.6,2024-09-02
B2B00000213,SUPP_001,COMP000002,1512,2.112,18.43,38.93,9.73,2024-09-02
B2B00000214,SUPP_001,COMP000002,1601,10.391,87.15,905.57,226.39,2024-09-02
B2B00000215,SUPP_001,COMP000002,1602,32.799,122.76,4026.45,1006.61,2024-09-02
B2B00000216,SUPP_001,COMP000002,1901,22.81,25.54,582.58,145.65,2024-09-02
B2B00000217,SUPP_001,COMP000002,2005,18.023,35.91,647.2,161.8,2024-09-02
B2B00000218,SUPP_001,COMP000002,2104,24.997,45.75,1143.63,285.91,2024-09-02
B2B00000219,SUPP_001,COMP000002,2710,135.722,15.79,2143.05,535.76,2024-09-02
B2B00000220,SUPP_001,COMP000002,3923,11.204,22.41,251.09,62.77,2024-09-02
B2B00000221,SUPP_001,COMP000002,401,10.611,12.27,130.2,32.55,2024-10-07
B2B00000222,SUPP_001,COMP000002,702,12.624,35.85,452.57,113.14,2024-10-07
B2B00000223,SUPP_001,COMP000002,703,4.262,28.43,121.17,30.29,2024-10-07
B2B00000224,SUPP_001,COMP000002,1512,2.07,18.4,38.09,9.52,2024-10-07
B2B00000225,SUPP_001,COMP000002,1601,11.351,87.47,992.91,248.23,2024-10-07
B2B00000226,SUPP_001,COMP000002,1602,31.194,123.1,3839.96,959.99,2024-10-07
B2B00000227,SUPP_001,COMP000002,1901,21.587,25.61,552.85,138.21,2024-10-07
B2B00000228,SUPP_001,COMP000002,2005,16.544,35.82,592.61,148.15,2024-10-07
B2B00000229,SUPP_001,COMP000002,2104,26.135,45.78,1196.47,299.12,2024-10-07
B2B00000230,SUPP_001,COMP000002,2710,147.52,15.77,2326.39,581.6,2024-10-07
B2B00000231,SUPP_001,COMP000002,3923,11.389,22.37,254.78,63.7,2024-10-07
B2B00000232,SUPP_001,COMP000002,401,10.738,12.27,131.76,32.94,2024-11-04
B2B00000233,SUPP_001,COMP000002,702,13.046,35.85,467.7,116.92,2024-11-04
B2B00000234,SUPP_001,COMP000002,703,4.245,28.43,120.68,30.17,2024-11-04
B2B00000235,SUPP_001,COMP000002,1512,2.176,18.4,40.03,10.01,2024-11-04
B2B00000236,SUPP_001,COMP000002,1601,11.309,87.47,989.19,247.3,2024-11-04
B2B00000237,SUPP_001,COMP000002,1602,32.476,123.1,3997.77,999.44,2024-11-04
B2B00000238,SUPP_001,COMP000002,1901,21.215,25.61,543.31,135.83,2024-11-04
B2B00000239,SUPP_001,COMP000002,2005,17.296,35.82,619.53,154.88,2024-11-04
B2B00000240,SUPP_001,COMP000002,2104,26.44,45.78,1210.42,302.6,2024-11-04
B2B00000241,SUPP_001,COMP000002,2710,145.587,15.77,2295.9,573.98,2024-11-04
B2B00000242,SUPP_001,COMP000002,3923,10.828,22.37,242.21,60.55,2024-11-04
B2B00000243,SUPP_001,COMP000003,401,10.953,11.86,129.91,32.48,2024-01-01
B2B00000244,SUPP_001,COMP000003,702,13.607,34.58,470.53,117.63,2024-01-01
B2B00000245,SUPP_001,COMP000003,703,4.23,27.66,116.99,29.25,2024-01-01
B2B00000246,SUPP_001,COMP000003,1512,2.135,17.78,37.96,9.49,2024-01-01
B2B00000247,SUPP_001,COMP000003,1601,10.822,83.98,908.86,227.22,2024-01-01
B2B00000248,SUPP_001,COMP000003,1602,33.81,118.56,4008.48,1002.12,2024-01-01
B2B00000249,SUPP_001,COMP000003,1901,21.842,24.7,539.49,134.87,2024-01-01
B2B00000250,SUPP_001,COMP000003,2005,17.546,34.58,606.74,151.68,2024-01-01
B2B00000251,SUPP_001,COMP000003,2104,26.992,44.46,1200.07,300.02,2024-01-01
B2B00000252,SUPP_001,COMP000003,2710,140.525,15.31,2151.44,537.86,2024-01-01
B2B00000253,SUPP_001,COMP000003,3923,10.636,21.74,231.22,57.8,2024-01-01
B2B00000254,SUPP_001,COMP000003,401,10.647,11.86,126.27,31.57,2024-02-05
B2B00000255,SUPP_001,COMP000003,702,13.075,34.58,452.14,113.04,2024-02-05
B2B00000256,SUPP_001,COMP000003,703,4.494,27.66,124.3,31.08,2024-02-05
B2B00000257,SUPP_001,COMP000003,1512,2.218,17.78,39.43,9.86,2024-02-05
B2B00000258,SUPP_001,COMP000003,1601,10.471,83.98,879.33,219.83,2024-02-05
B2B00000259,SUPP_001,COMP000003,1602,33.258,118.56,3943.02,985.76,2024-02-05
B2B00000260,SUPP_001,COMP000003,1901,20.797,24.7,513.69,128.42,2024-02-05
B2B00000261,SUPP_001,COMP000003,2005,16.881,34.58,583.75,145.94,2024-02-05
B2B00000262,SUPP_001,COMP000003,2104,25.668,44.46,1141.21,285.3,2024-02-05
B2B00000263,SUPP_001,COMP000003,2710,143.906,15.31,2203.2,550.8,2024-02-05
B2B00000264,SUPP_001,COMP000003,3923,10.516,21.74,228.63,57.16,2024-02-05
B2B00000265,SUPP_001,COMP000003,401,11.269,11.86,133.65,33.41,2024-03-04
B2B00000266,SUPP_001,COMP000003,702,12.446,34.58,430.38,107.6,2024-03-04
B2B00000267,SUPP_001,COMP000003,703,4.246,27.66,117.45,29.36,2024-03-04
B2B00000268,SUPP_001,COMP000003,1512,2.144,17.78,38.12,9.53,2024-03-04
B2B00000269,SUPP_001,COMP000003,1601,10.851,83.98,911.3,227.82,2024-03-04
B2B00000270,SUPP_001,COMP000003,1602,33.06,118.56,3919.62,979.9,2024-03-04
B2B00000271,SUPP_001,COMP000003,1901,21.736,24.7,536.88,134.22,2024-03-04
B2B00000272,SUPP_001,COMP000003,2005,18.014,34.58,622.93,155.73,2024-03-04
B2B00000273,SUPP_001,COMP000003,2104,26.127,44.46,1161.63,290.41,2024-03-04
B2B00000274,SUPP_001,COMP000003,2710,145.112,15.31,2221.66,555.42,2024-03-04
B2B00000275,SUPP_001,COMP000003,3923,11.31,21.74,245.88,61.47,2024-03-04
B2B00000276,SUPP_001,COMP000003,401,11.342,11.86,134.52,33.63,2024-04-01
B2B00000277,SUPP_001,COMP000003,702,13.698,34.58,473.66,118.42,2024-04-01
B2B00000278,SUPP_001,COMP000003,703,4.545,27.66,125.7,31.42,2024-04-01
B2B00000279,SUPP_001,COMP000003,1512,2.091,17.78,37.19,9.3,2024-04-01
B2B00000280,SUPP_001,COMP000003,1601,10.864,83.98,912.35,228.09,2024-04-01
B2B00000281,SUPP_001,COMP000003,1602,31.375,118.56,3719.86,929.96,2024-04-01
B2B00000282,SUPP_001,COMP000003,1901,22.414,24.7,553.63,138.41,2024-04-01
B2B00000283,SUPP_001,COMP000003,2005,18.178,34.58,628.61,157.15,2024-04-01
B2B00000284,SUPP_001,COMP000003,2104,26.097,44.46,1160.28,290.07,2024-04-01
B2B00000285,SUPP_001,COMP000003,2710,141.732,15.31,2169.92,542.48,2024-04-01
B2B00000286,SUPP_001,COMP000003,3923,11.396,21.74,247.76,61.94,2024-04-01
B2B00000287,SUPP_001,COMP000003,401,10.375,11.85,122.94,30.74,2024-05-06
B2B00000288,SUPP_001,COMP000003,702,13.585,34.53,469.07,117.27,2024-05-06
B2B00000289,SUPP_001,COMP000003,703,4.325,27.65,119.58,29.9,2024-05-06
B2B00000290,SUPP_001,COMP000003,1512,2.109,17.81,37.57,9.39,2024-05-06
B2B00000291,SUPP_001,COMP000003,1601,11.073,83.93,929.36,232.34,2024-05-06
B2B00000292,SUPP_001,COMP000003,1602,33.651,118.31,3981.29,995.32,2024-05-06
B2B00000293,SUPP_001,COMP000003,1901,22.212,24.72,549.07,137.27,2024-05-06
B2B00000294,SUPP_001,COMP000003,2005,16.582,34.59,573.56,143.39,2024-05-06
B2B00000295,SUPP_001,COMP000003,2104,26.428,44.39,1173.16,293.29,2024-05-06
B2B00000296,SUPP_001,COMP000003,2710,136.446,15.26,2082.17,520.54,2024-05-06
B2B00000297,SUPP_001,COMP000003,3923,10.694,21.71,232.17,58.04,2024-05-06
B2B00000298,SUPP_001,COMP000003,401,10.687,11.85,126.64,31.66,2024-06-03
B2B00000299,SUPP_001,COMP000003,702,12.809,34.53,442.29,110.57,2024-06-03
B2B00000300,SUPP_001,COMP000003,703,4.143,27.65,114.54,28.64,2024-06-03
B2B00000301,SUPP_001,COMP000003,1512,2.079,17.81,37.02,9.26,2024-06-03
