CompanyID,ServiceType,TotalReimbursement,NumberOfEmployees,AverageServiceHoursPerEmployee,AverageMonthlyPurchasePerServiceHour,EmployeesWithCriminalBackground,EmployeesWithDebt,FamilyRelations,PredictedDeviation,RiskScore
COMP000201,Cleaning,24230892.49,24,40.71,8.96,6,20,6,-23.74,166.78
COMP000153,Cleaning,42148615.91,46,36.94,9.86,14,38,6,-16.48,165.96
COMP000118,Meals,25249699.6,27,37.71,8.79,8,21,6,-19.99,163.74
COMP000123,Cleaning,73248247.08,78,37.87,9.57,23,61,6,-19.31,163.35
COMP000104,Meals,80824849.29,84,38.8,8.86,24,64,6,-19.02,160.15
COMP000106,Meals,33200631.41,36,37.17,8.99,10,31,6,-12.08,159.91
COMP000077,Meals,64456540.4,67,38.79,8.59,17,51,6,-22.89,157.55
COMP000280,Transport,45815948.1,48,38.48,13.14,12,38,6,-20.12,156.76
COMP000279,Transport,26687170.96,28,38.41,13.36,7,22,6,-17.81,153.79
COMP000094,Meals,9912803.48,10,39.94,8.37,1,9,6,-22.44,141.38
COMP000119,Meals,33884910.28,36,37.96,8.83,8,26,6,-13.27,136.9
COMP000067,Meals,5379108.62,5,43.39,7.98,0,4,6,-23.44,115.83
COMP000044,Meals,42925285.15,48,36.06,9.56,13,21,4,-11.41,113.33
COMP000099,Meals,39634220.6,46,34.73,9.71,12,20,4,-12.4,112.05
COMP000054,Meals,29356610.04,34,34.8,9.98,8,18,4,-3.95,104.0
COMP000278,Transport,6020793.46,7,34.69,14.98,0,5,4,-9.03,75.43
COMP000254,Transport,75531497.28,98,31.07,16.12,4,1,0,-28.71,37.89
COMP000115,Meals,6151618.44,8,30.99,11.03,1,1,0,4.74,37.5
COMP000271,Transport,4607929.82,6,30.94,16.51,1,0,0,3.38,33.33
COMP000293,Transport,4612497.13,6,31.0,15.82,1,0,0,0.49,33.33
COMP000206,Cleaning,3058741.71,4,30.86,12.24,0,1,0,29.06,25.0
COMP000019,Meals,3080678.28,4,31.06,11.13,0,1,0,14.89,25.0
COMP000283,Transport,3080537.31,4,31.06,16.25,0,1,0,10.4,25.0
COMP000080,Meals,3002973.28,4,30.24,11.25,0,1,0,23.59,25.0
COMP000018,Meals,3047607.47,4,30.68,11.33,0,1,0,19.68,25.0
COMP000126,Cleaning,6865855.83,9,30.79,11.95,1,0,0,5.11,22.22
COMP000266,Transport,6925270.08,9,31.02,16.01,1,0,0,1.97,22.22
COMP000213,Cleaning,6922759.47,9,31.05,11.56,1,0,0,2.43,22.22
COMP000093,Meals,20790999.94,27,31.05,11.08,2,2,0,1.58,22.22
COMP000157,Cleaning,6849225.19,9,30.68,12.05,0,2,0,8.23,22.22
COMP000242,Transport,24638580.9,32,31.05,15.73,3,1,0,-2.62,21.88
COMP000178,Cleaning,17714289.4,23,31.05,11.95,2,1,0,1.86,21.74
COMP000032,Meals,10754645.24,14,30.98,11.02,1,1,0,2.54,21.43
COMP000136,Cleaning,7705756.03,10,31.08,11.87,1,0,0,21.2,20.0
COMP000295,Transport,7700970.61,10,31.06,15.94,1,0,0,-1.02,20.0
COMP000300,Transport,8469556.49,11,31.02,16.48,1,0,0,2.77,18.18
COMP000089,Meals,21524619.4,28,31.01,11.25,1,3,0,3.6,17.86
COMP000196,Cleaning,17723793.01,23,31.07,11.57,1,2,0,-1.25,17.39
COMP000148,Cleaning,58536918.92,76,31.06,11.53,2,9,0,-3.13,17.11
COMP000065,Meals,40800337.36,53,31.04,11.28,2,5,0,0.89,16.98
COMP000290,Transport,9243199.42,12,31.06,15.84,1,0,0,-0.65,16.67
COMP000252,Transport,32368672.81,42,31.06,16.62,2,3,0,3.2,16.67
COMP000096,Meals,19248305.05,25,31.03,11.18,1,2,0,0.97,16.0
COMP000285,Transport,20033330.16,26,31.07,15.77,2,0,0,2.39,15.38
COMP000006,Meals,20816055.32,27,31.07,10.91,1,2,0,-0.85,14.81
COMP000246,Transport,26202324.4,34,31.06,15.56,2,1,0,-3.96,14.71
COMP000076,Meals,52389969.23,68,31.08,11.31,3,4,0,0.73,14.71
COMP000269,Transport,5336564.11,7,30.74,15.94,0,1,0,2.21,14.29
COMP000002,Meals,5354270.44,7,30.84,11.32,0,1,0,7.83,14.29
COMP000003,Meals,5347489.41,7,30.82,10.96,0,1,0,4.82,14.29
COMP000045,Meals,5384155.86,7,31.06,10.86,0,1,0,1.74,14.29
COMP000224,Transport,5316323.6,7,30.61,16.44,0,1,0,5.05,14.29
COMP000162,Cleaning,22337064.2,29,31.06,11.6,1,2,0,-3.33,13.79
COMP000068,Meals,33911765.1,44,31.07,11.12,2,2,0,3.09,13.64
COMP000218,Cleaning,33853415.54,44,31.03,12.07,2,2,0,6.13,13.64
COMP000125,Cleaning,11495267.3,15,30.88,12.02,1,0,0,3.08,13.33
COMP000128,Cleaning,46242880.46,60,31.07,11.56,2,4,0,-0.87,13.33
COMP000134,Cleaning,23093234.08,30,31.03,11.44,1,2,0,-4.27,13.33
COMP000026,Meals,29250827.06,38,31.03,10.68,2,1,0,5.26,13.16
COMP000165,Cleaning,17689160.13,23,31.02,11.94,1,1,0,1.73,13.04
COMP000005,Meals,30794397.17,40,31.04,11.24,1,3,0,2.29,12.5
COMP000001,Meals,6161749.27,8,31.04,10.82,0,1,0,2.82,12.5
COMP000062,Meals,55497330.56,72,31.07,11.03,3,3,0,1.18,12.5
COMP000039,Meals,12330819.99,16,31.05,10.78,1,0,0,-3.64,12.5
COMP000031,Meals,12298134.45,16,30.98,11.1,1,0,0,-1.67,12.5
COMP000025,Meals,24654833.76,32,31.04,11.23,1,2,0,5.03,12.5
COMP000010,Meals,36962840.57,48,31.04,10.76,2,2,0,1.88,12.5
COMP000184,Cleaning,6134021.98,8,30.93,12.26,0,1,0,25.44,12.5
COMP000298,Transport,19254378.41,25,31.05,16.46,1,1,0,7.52,12.0
COMP000237,Transport,19993002.33,26,31.0,16.38,1,1,0,5.99,11.54
COMP000212,Cleaning,20004308.53,26,31.01,11.46,1,1,0,-1.97,11.54
COMP000036,Meals,6924147.87,9,31.0,10.89,0,1,0,2.04,11.11
COMP000281,Transport,6918896.14,9,31.0,15.6,0,1,0,-0.71,11.11
COMP000187,Cleaning,56956421.46,74,31.03,11.79,3,2,0,0.95,10.81
COMP000121,Cleaning,21528771.06,28,31.0,12.2,1,1,0,3.82,10.71
COMP000260,Transport,50810705.65,66,31.04,16.4,1,5,0,1.62,10.61
COMP000138,Cleaning,65501797.73,85,31.07,11.86,3,3,0,1.14,10.59
COMP000055,Meals,43890929.98,57,31.04,10.72,3,0,0,-2.81,10.53
COMP000209,Cleaning,58564719.0,76,31.07,11.75,3,2,0,3.48,10.53
COMP000102,Meals,22261908.76,29,30.94,10.96,1,1,0,0.64,10.34
COMP000056,Meals,30018709.92,39,31.05,11.11,2,0,0,0.22,10.26
COMP000037,Meals,30814489.28,40,31.07,11.4,1,2,0,3.06,10.0
COMP000053,Meals,30834657.74,40,31.06,10.89,2,0,0,-1.97,10.0
COMP000083,Meals,23795788.37,31,30.95,10.84,1,1,0,-1.35,9.68
COMP000253,Transport,57013233.45,74,31.07,15.91,2,3,0,-4.58,9.46
COMP000164,Cleaning,66259847.15,86,31.07,11.81,2,4,0,-0.05,9.3
COMP000011,Meals,16938076.74,22,31.04,10.66,1,0,0,-0.87,9.09
COMP000082,Meals,25425970.76,33,31.08,10.93,1,1,0,-1.05,9.09
COMP000028,Meals,33878735.3,44,31.04,10.67,1,2,0,-3.98,9.09
COMP000142,Cleaning,26167987.48,34,31.03,11.99,1,1,0,6.5,8.82
COMP000020,Meals,9254916.23,12,31.08,10.57,0,1,0,6.43,8.33
COMP000171,Cleaning,27716397.97,36,31.03,11.69,1,1,0,0.71,8.33
COMP000120,Meals,9202566.17,12,30.94,11.09,0,1,0,15.31,8.33
COMP000175,Cleaning,73889146.16,96,31.03,11.58,3,2,0,-2.27,8.33
COMP000270,Transport,27728560.57,36,31.05,15.93,0,3,0,0.15,8.33
COMP000057,Meals,37721512.85,49,31.04,10.75,2,0,0,-0.22,8.16
COMP000197,Cleaning,76274003.15,99,31.06,11.5,2,4,0,-6.27,8.08
COMP000258,Transport,38528156.3,50,31.07,16.51,0,4,0,17.69,8.0
COMP000140,Cleaning,19251280.07,25,31.05,11.61,1,0,0,-0.42,8.0
COMP000137,Cleaning,19230016.54,25,31.02,12.09,1,0,0,4.87,8.0
COMP000014,Meals,29234570.8,38,31.02,11.01,1,1,0,3.63,7.89
COMP000226,Transport,10008826.7,13,31.05,15.88,0,1,0,14.57,7.69
COMP000042,Meals,41628085.55,54,31.08,11.14,1,2,0,0.93,7.41
COMP000152,Cleaning,20781923.24,27,31.04,12.1,1,0,0,2.86,7.41
COMP000101,Meals,20804985.31,27,31.07,10.81,1,0,0,-2.2,7.41
COMP000182,Cleaning,62413766.86,81,31.07,11.84,2,2,0,3.74,7.41
COMP000155,Cleaning,53091474.99,69,31.02,11.89,1,3,0,0.05,7.25
COMP000160,Cleaning,32345376.71,42,31.05,11.67,1,1,0,-5.48,7.14
COMP000181,Cleaning,67799884.04,88,31.07,11.5,2,2,0,-2.74,6.82
COMP000151,Cleaning,45473148.56,59,31.07,11.72,2,0,0,0.02,6.78
COMP000143,Cleaning,11525272.65,15,30.99,11.84,0,1,0,0.56,6.67
COMP000217,Cleaning,35417141.64,46,31.04,11.95,1,1,0,8.49,6.52
COMP000239,Transport,23767514.44,31,30.92,16.0,1,0,0,-0.18,6.45
COMP000225,Transport,23871300.76,31,31.04,16.34,0,2,0,2.1,6.45
COMP000297,Transport,36221403.83,47,31.06,16.22,1,1,0,6.63,6.38
COMP000004,Meals,24665354.89,32,31.07,10.94,1,0,0,-1.93,6.25
COMP000023,Meals,24621467.64,32,31.02,11.18,1,0,0,1.08,6.25
COMP000098,Meals,50828292.66,66,31.05,11.06,1,2,0,-2.07,6.06
COMP000110,Meals,63896535.98,83,31.04,11.2,2,1,0,7.57,6.02
COMP000112,Meals,13047523.29,17,30.95,11.28,0,1,0,9.91,5.88
COMP000233,Transport,13086817.42,17,31.03,16.15,0,1,0,16.24,5.88
COMP000186,Cleaning,12993549.23,17,30.83,11.76,0,1,0,2.73,5.88
COMP000040,Meals,41620351.2,54,31.07,11.2,1,1,0,0.96,5.56
COMP000222,Transport,55455388.76,72,31.05,16.02,2,0,0,-0.01,5.56
COMP000072,Meals,57029130.55,74,31.07,10.72,1,2,0,-2.06,5.41
COMP000154,Cleaning,29219898.56,38,30.99,11.63,1,0,0,-2.58,5.26
COMP000086,Meals,29230262.45,38,31.03,11.01,1,0,0,3.48,5.26
COMP000177,Cleaning,29270556.14,38,31.06,12.11,0,2,0,2.3,5.26
COMP000078,Meals,43910441.77,57,31.07,10.71,1,1,0,-3.86,5.26
COMP000079,Meals,64672064.79,84,31.05,11.23,2,0,0,7.12,4.76
COMP000135,Cleaning,33032005.33,43,30.98,12.32,1,0,0,7.75,4.65
COMP000296,Transport,33844616.35,44,31.02,16.02,0,2,0,0.78,4.55
COMP000091,Meals,34665989.36,45,31.05,10.93,1,0,0,-0.25,4.44
COMP000108,Meals,34635203.79,45,31.03,11.3,1,0,0,6.18,4.44
COMP000058,Meals,53132372.1,69,31.04,11.13,0,3,0,-0.62,4.35
COMP000060,Meals,18449238.68,24,31.0,10.85,0,1,0,-1.29,4.17
COMP000211,Cleaning,18388712.41,24,30.9,12.13,0,1,0,4.18,4.17
COMP000103,Meals,36975161.97,48,31.06,10.88,0,2,0,3.63,4.17
COMP000141,Cleaning,36969389.15,48,31.05,11.59,1,0,0,18.35,4.17
COMP000051,Meals,19239111.09,25,31.01,11.28,0,1,0,2.39,4.0
COMP000064,Meals,39236442.52,51,31.03,11.28,1,0,0,2.85,3.92
COMP000176,Cleaning,20703245.33,27,30.91,11.78,0,1,0,-0.92,3.7
COMP000113,Meals,68595821.23,89,31.08,10.78,1,1,0,-2.35,3.37
COMP000200,Cleaning,46168662.56,60,31.03,12.06,1,0,0,10.29,3.33
COMP000173,Cleaning,23869807.02,31,31.05,11.85,0,1,0,-0.81,3.23
COMP000284,Transport,48501172.28,63,31.05,16.4,0,2,0,0.88,3.17
COMP000235,Transport,24646847.31,32,31.05,16.57,0,1,0,3.28,3.12
COMP000247,Transport,50869563.99,66,31.07,15.73,0,2,0,-5.78,3.03
COMP000038,Meals,26206532.21,34,31.07,10.81,0,1,0,8.74,2.94
COMP000248,Transport,29276881.93,38,31.06,15.9,0,1,0,14.52,2.63
COMP000167,Cleaning,59286306.43,77,31.05,11.6,1,0,0,-2.95,2.6
COMP000132,Cleaning,30777592.86,40,31.03,12.06,0,1,0,-0.63,2.5
COMP000207,Cleaning,69295335.77,90,31.05,12.14,0,2,0,4.31,2.22
COMP000191,Cleaning,36212096.7,47,31.07,12.07,0,1,0,29.5,2.13
COMP000024,Meals,36969700.12,48,31.06,10.8,0,1,0,-0.62,2.08
COMP000193,Cleaning,76300174.45,99,31.08,11.73,0,2,0,-6.65,2.02
COMP000161,Cleaning,44651081.8,58,31.04,12.16,0,1,0,6.97,1.72
COMP000214,Cleaning,46167943.69,60,31.02,11.64,0,1,0,-2.04,1.67
COMP000268,Transport,47757163.89,62,31.06,16.47,0,1,0,0.68,1.61
COMP000088,Meals,49281922.16,64,31.05,10.81,0,1,0,-1.09,1.56
COMP000021,Meals,52366709.6,68,31.05,11.25,0,1,0,0.28,1.47
COMP000073,Meals,53136974.25,69,31.05,11.11,0,1,0,-0.96,1.45
COMP000034,Meals,65482641.71,85,31.06,11.04,0,1,0,0.5,1.18
COMP000009,Meals,7698995.74,10,31.06,11.29,0,0,0,20.08,0.0
COMP000012,Meals,17620756.94,23,30.89,10.94,0,0,0,-0.78,0.0
COMP000013,Meals,13793082.88,18,30.9,10.93,0,0,0,6.23,0.0
COMP000015,Meals,19253591.58,25,31.06,10.92,0,0,0,-2.45,0.0
COMP000022,Meals,19191605.53,25,30.94,11.2,0,0,0,1.48,0.0
COMP000286,Transport,3842390.35,5,31.0,15.82,0,0,0,1.1,0.0
COMP000287,Transport,12278251.49,16,30.93,15.96,0,0,0,23.89,0.0
COMP000291,Transport,3032646.75,4,30.56,16.85,0,0,0,13.48,0.0
COMP000124,Cleaning,3851135.17,5,31.04,12.18,0,0,0,13.2,0.0
COMP000127,Cleaning,6126005.32,8,30.87,11.98,0,0,0,25.96,0.0
COMP000129,Cleaning,4604672.05,6,30.96,11.74,0,0,0,4.99,0.0
COMP000131,Cleaning,7695661.64,10,31.02,11.92,0,0,0,22.96,0.0
COMP000156,Cleaning,15395007.45,20,31.04,12.03,0,0,0,4.12,0.0
COMP000159,Cleaning,17692018.66,23,31.03,11.86,0,0,0,0.87,0.0
COMP000150,Cleaning,7600009.1,10,30.62,11.92,0,0,0,19.53,0.0
COMP000133,Cleaning,4567409.3,6,30.68,11.88,0,0,0,3.65,0.0
COMP000144,Cleaning,13096501.02,17,31.05,11.72,0,0,0,0.02,0.0
COMP000145,Cleaning,3806683.9,5,30.69,11.72,0,0,0,15.41,0.0
COMP000146,Cleaning,4592393.43,6,30.84,11.98,0,0,0,4.32,0.0
COMP000147,Cleaning,3042812.25,4,30.69,11.94,0,0,0,35.33,0.0
COMP000289,Transport,6904805.99,9,30.92,16.75,0,0,0,2.91,0.0
COMP000288,Transport,3003553.28,4,30.26,16.01,0,0,0,26.67,0.0
COMP000294,Transport,6870958.41,9,30.8,16.15,0,0,0,4.88,0.0
COMP000166,Cleaning,23065133.58,30,30.99,11.91,0,0,0,4.35,0.0
COMP000116,Meals,4605496.78,6,30.94,10.91,0,0,0,10.6,0.0
COMP000199,Cleaning,27709156.56,36,31.04,11.67,0,0,0,-0.4,0.0
COMP000190,Cleaning,9978995.41,13,30.97,11.9,0,0,0,5.98,0.0
COMP000111,Meals,5310504.69,7,30.58,10.86,0,0,0,3.24,0.0
COMP000188,Cleaning,6919227.28,9,31.0,12.05,0,0,0,3.48,0.0
COMP000185,Cleaning,7680092.05,10,30.95,11.53,0,0,0,1.13,0.0
COMP000097,Meals,3797464.11,5,30.66,11.05,0,0,0,5.94,0.0
COMP000100,Meals,20017217.33,26,31.05,10.96,0,0,0,-0.46,0.0
COMP000092,Meals,6135238.18,8,30.93,10.99,0,0,0,1.42,0.0
COMP000174,Cleaning,5368560.58,7,30.95,11.74,0,0,0,3.46,0.0
COMP000183,Cleaning,5387872.12,7,31.04,11.94,0,0,0,6.89,0.0
COMP000090,Meals,6892071.64,9,30.88,10.79,0,0,0,0.67,0.0
COMP000179,Cleaning,5331217.27,7,30.73,12.04,0,0,0,11.55,0.0
COMP000107,Meals,3847170.53,5,31.06,11.04,0,0,0,9.59,0.0
COMP000117,Meals,6874561.91,9,30.8,11.35,0,0,0,4.21,0.0
COMP000169,Cleaning,12958342.18,17,30.74,11.64,0,0,0,-1.35,0.0
COMP000170,Cleaning,3071247.63,4,30.96,11.94,0,0,0,22.13,0.0
COMP000109,Meals,6919163.59,9,31.0,11.05,0,0,0,2.44,0.0
COMP000105,Meals,3824972.37,5,30.8,11.11,0,0,0,13.3,0.0
COMP000163,Cleaning,9994868.0,13,30.98,11.76,0,0,0,3.67,0.0
COMP000221,Transport,21541022.27,28,31.02,16.52,0,0,0,7.7,0.0
COMP000219,Cleaning,3802794.09,5,30.64,11.67,0,0,0,13.51,0.0
COMP000210,Cleaning,3824119.92,5,30.84,11.95,0,0,0,14.22,0.0
COMP000216,Cleaning,16179643.54,21,31.06,11.55,0,0,0,0.05,0.0
COMP000087,Meals,3844814.44,5,31.04,10.96,0,0,0,7.37,0.0
COMP000202,Cleaning,6135653.84,8,30.93,11.62,0,0,0,14.53,0.0
COMP000204,Cleaning,10687784.63,14,30.78,11.82,0,0,0,1.68,0.0
COMP000208,Cleaning,3849943.12,5,31.04,11.77,0,0,0,12.69,0.0
COMP000085,Meals,3821804.11,5,30.82,10.98,0,0,0,3.82,0.0
COMP000198,Cleaning,10789582.16,14,31.06,11.81,0,0,0,1.08,0.0
COMP000194,Cleaning,10743229.63,14,30.93,11.92,0,0,0,2.04,0.0
COMP000192,Cleaning,5384548.16,7,31.04,12.14,0,0,0,17.81,0.0
COMP000075,Meals,4583155.8,6,30.82,11.29,0,0,0,17.27,0.0
COMP000074,Meals,33784341.88,44,30.97,10.79,0,0,0,-2.09,0.0
COMP000081,Meals,5347700.49,7,30.8,11.18,0,0,0,8.39,0.0
COMP000084,Meals,7696523.65,10,31.04,11.31,0,0,0,18.04,0.0
COMP000189,Cleaning,3840241.11,5,30.94,11.6,0,0,0,14.04,0.0
COMP000071,Meals,23809786.89,31,30.96,10.9,0,0,0,-1.93,0.0
COMP000066,Meals,7698867.54,10,31.04,10.88,0,0,0,13.4,0.0
COMP000063,Meals,3063234.48,4,30.88,11.32,0,0,0,20.34,0.0
COMP000061,Meals,4624719.85,6,31.07,10.95,0,0,0,9.76,0.0
COMP000241,Transport,6911483.19,9,30.98,16.91,0,0,0,6.7,0.0
COMP000238,Transport,3065346.44,4,30.9,16.39,0,0,0,9.1,0.0
COMP000236,Transport,6107343.28,8,30.8,16.26,0,0,0,6.54,0.0
COMP000244,Transport,9224779.41,12,31.0,16.06,0,0,0,0.57,0.0
COMP000070,Meals,22326762.81,29,31.03,10.8,0,0,0,-1.4,0.0
COMP000230,Transport,27728938.29,36,31.06,15.7,0,0,0,0.5,0.0
COMP000231,Transport,3036407.18,4,30.62,15.95,0,0,0,25.3,0.0
COMP000059,Meals,16163158.65,21,31.03,10.71,0,0,0,0.37,0.0
COMP000228,Transport,4617498.78,6,31.0,16.37,0,0,0,1.52,0.0
COMP000227,Transport,4610254.42,6,30.97,16.46,0,0,0,1.63,0.0
COMP000223,Transport,3828335.5,5,30.89,16.11,0,0,0,10.64,0.0
COMP000256,Transport,8458246.15,11,31.0,16.38,0,0,0,1.94,0.0
COMP000255,Transport,7641942.64,10,30.81,16.3,0,0,0,1.82,0.0
COMP000251,Transport,4575534.23,6,30.73,16.42,0,0,0,2.11,0.0
COMP000250,Transport,5392719.43,7,31.07,15.87,0,0,0,0.25,0.0
COMP000249,Transport,6935525.79,9,31.05,16.13,0,0,0,0.66,0.0
COMP000245,Transport,4590059.66,6,30.84,16.12,0,0,0,7.11,0.0
COMP000243,Transport,6151830.53,8,31.02,16.42,0,0,0,7.19,0.0
COMP000257,Transport,3070767.84,4,30.94,15.72,0,0,0,9.47,0.0
COMP000046,Meals,6126536.29,8,30.88,11.34,0,0,0,4.38,0.0
COMP000047,Meals,33875093.92,44,31.03,10.8,0,0,0,-1.32,0.0
COMP000261,Transport,4620155.1,6,31.04,16.78,0,0,0,10.69,0.0
COMP000259,Transport,6913144.02,9,30.98,15.66,0,0,0,-0.05,0.0
COMP000263,Transport,33910348.42,44,31.07,16.15,0,0,0,-0.91,0.0
COMP000041,Meals,32354649.15,42,31.06,11.07,0,0,0,-1.41,0.0
COMP000043,Meals,7660136.64,10,30.91,10.84,0,0,0,-1.84,0.0
COMP000262,Transport,7688727.26,10,30.98,15.91,0,0,0,-1.8,0.0
COMP000029,Meals,6863421.96,9,30.71,10.96,0,0,0,0.39,0.0
COMP000027,Meals,73199004.89,95,31.06,10.95,0,0,0,-7.12,0.0
COMP000052,Meals,3071114.11,4,30.95,11.09,0,0,0,11.11,0.0
COMP000050,Meals,4592405.42,6,30.88,11.15,0,0,0,8.93,0.0
COMP000048,Meals,3053873.56,4,30.78,10.93,0,0,0,22.42,0.0
COMP000049,Meals,4580478.78,6,30.79,10.91,0,0,0,2.57,0.0
COMP000035,Meals,3832397.39,5,30.9,10.96,0,0,0,11.7,0.0
COMP000033,Meals,4591063.6,6,30.82,11.27,0,0,0,15.54,0.0
COMP000265,Transport,6162392.24,8,31.06,16.47,0,0,0,7.1,0.0
COMP000030,Meals,3820357.79,5,30.82,11.24,0,0,0,13.31,0.0
COMP000272,Transport,3079420.26,4,31.05,16.62,0,0,0,17.95,0.0
COMP000274,Transport,5369921.42,7,30.94,16.8,0,0,0,9.36,0.0
COMP000277,Transport,21564502.65,28,31.06,15.89,0,0,0,0.77,0.0
COMP000275,Transport,3030664.75,4,30.55,16.81,0,0,0,11.65,0.0
COMP000008,Meals,17702956.6,23,31.02,11.25,0,0,0,3.64,0.0
COMP000007,Meals,3058197.83,4,30.83,10.82,0,0,0,21.0,0.0
